evaluationOfHilltown,transiency,impressionOfFriends,expectations,attitudeOfFriend,attitude,satisfactionInWorkplace,pastExperience,evaluationOfPhysicalAmenities,satisfactionInField,education,evaluationOfCoResidents,evaluationOfManagement,occupation
favorable,neverThoughtAboutIt,favorableAndUnfavorable,NA,NA,NA,NA,NA,NA,NA,someHighSchool,NA,NA,NA
NA,untilBetterPlace,favorable,NA,NA,NA,NA,NA,favorable,NA,highSchoolGraduate,NA,NA,NA
favorable,asLongAsEligible,favorableAndUnfavorable,NA,liberalFriend,liberal,hardToSay,NA,NA,poor,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
favorable,untilOwnHome,favorable,mutualAcomodataion,liberalFriend,liberal,good,biracialLivingExperience,favorable,good,NA,NA,NA,unskilledDomesticPersonalService
unfavorable,permanent,unfavorable,integration,ambivalentFriend,liberal,poor,biracialLivingExperience,favorable,poor,NA,NA,NA,unskilledDomesticPersonalService
favorable,NA,favorable,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,NA,NA,NA,favorable,NA,NA
favorable,NA,unfavorable,NA,liberalFriend,liberal,NA,NA,favorable,NA,gradeSchoolOrLess,NA,favorable,NA
favorable,asLongAsEligible,favorable,mutualAcomodataion,liberalFriend,liberal,poor,biracialLivingExperience,NA,poor,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
favorable,NA,favorableAndUnfavorable,NA,NA,NA,NA,NA,favorable,NA,gradeSchoolOrLess,NA,NA,NA
favorable,asLongAsEligible,favorableAndUnfavorable,NA,NA,NA,poor,NA,favorable,good,someHighSchool,NA,NA,semiSkilled
unfavorable,permanent,favorable,NA,NA,NA,poor,NA,NA,poor,NA,NA,NA,unskilledDomesticPersonalService
favorable,NA,favorable,mutualAcomodataion,NA,NA,poor,biracialLivingExperience,NA,fair,gradeSchoolOrLess,NA,NA,semiSkilled
favorable,NA,NA,integration,NA,NA,poor,biracialLivingExperience,favorable,poor,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
favorable,asLongAsEligible,favorable,NA,NA,NA,good,NA,favorable,good,NA,NA,NA,unskilledDomesticPersonalService
NA,permanent,favorable,mutualAcomodataion,ambivalentFriend,liberal,poor,biracialLivingExperience,favorable,poor,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
favorable,neverThoughtAboutIt,unfavorable,NA,NA,NA,NA,NA,favorable,NA,someHighSchool,favorable,NA,NA
favorable,NA,favorable,NA,NA,NA,good,NA,favorable,fair,someHighSchool,NA,NA,whiteColorSkilled
favorable,untilOwnHome,NA,NA,liberalFriend,liberal,NA,NA,unfavorable,NA,NA,favorable,NA,NA
favorable,permanent,NA,NA,liberalFriend,liberal,fair,NA,favorable,poor,gradeSchoolOrLess,NA,NA,whiteColorSkilled
favorable,permanent,favorable,NA,NA,NA,poor,NA,NA,poor,NA,NA,NA,unskilledDomesticPersonalService
favorable,permanent,NA,mutualAcomodataion,NA,NA,poor,biracialLivingExperience,favorable,fair,NA,NA,NA,unskilledDomesticPersonalService
unfavorable,asLongAsEligible,NA,NA,liberalFriend,liberal,hardToSay,NA,NA,poor,NA,NA,NA,unskilledDomesticPersonalService
favorable,permanent,favorable,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,favorable,NA,someHighSchool,NA,NA,NA
favorable,NA,favorable,NA,liberalFriend,liberal,NA,NA,favorable,NA,NA,NA,NA,NA
favorable,asLongAsEligible,NA,mutualAcomodataion,NA,NA,poor,biracialLivingExperience,favorable,poor,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
favorable,untilBetterPlace,favorable,NA,NA,NA,NA,NA,favorable,NA,someHighSchool,NA,NA,NA
favorable,untilBetterPlace,favorable,integration,NA,NA,poor,biracialLivingExperience,favorable,poor,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
favorable,asLongAsEligible,NA,mutualAcomodataion,ambivalentFriend,ambivalent,NA,biracialLivingExperience,unfavorable,NA,someHighSchool,NA,NA,NA
NA,neverThoughtAboutIt,favorable,mutualAcomodataion,liberalFriend,ambivalent,poor,biracialLivingExperience,favorable,good,highSchoolGraduate,NA,NA,unskilledDomesticPersonalService
NA,asLongAsEligible,favorable,mutualAcomodataion,NA,NA,NA,noBiracialLivingExperience,favorable,NA,NA,favorable,NA,NA
favorable,NA,NA,NA,NA,NA,poor,NA,favorable,fair,gradeSchoolOrLess,NA,NA,whiteColorSkilled
favorable,permanent,favorableAndUnfavorable,NA,NA,NA,NA,NA,NA,NA,gradeSchoolOrLess,NA,NA,NA
favorable,untilBetterPlace,favorableAndUnfavorable,NA,liberalFriend,liberal,poor,NA,favorable,poor,someHighSchool,NA,NA,semiSkilled
favorable,NA,noComments,conflict,liberalFriend,liberal,good,biracialLivingExperience,NA,good,someHighSchool,NA,NA,whiteColorSkilled
favorable,neverThoughtAboutIt,favorable,NA,liberalFriend,liberal,hardToSay,NA,NA,hardToSay,NA,NA,NA,unskilledDomesticPersonalService
favorable,asLongAsEligible,favorableAndUnfavorable,mutualAcomodataion,NA,NA,poor,biracialLivingExperience,favorable,hardToSay,gradeSchoolOrLess,NA,NA,semiSkilled
favorable,NA,favorable,conflict,NA,NA,hardToSay,noBiracialLivingExperience,favorable,good,gradeSchoolOrLess,NA,NA,semiSkilled
NA,asLongAsEligible,NA,mutualAcomodataion,NA,NA,poor,biracialLivingExperience,NA,fair,NA,NA,NA,semiSkilled
favorable,untilBetterPlace,noComments,mutualAcomodataion,NA,NA,poor,biracialLivingExperience,NA,poor,gradeSchoolOrLess,NA,NA,whiteColorSkilled
favorable,NA,NA,NA,NA,NA,NA,NA,favorable,NA,someHighSchool,NA,NA,NA
favorable,asLongAsEligible,NA,mutualAcomodataion,ambivalentFriend,liberal,NA,noBiracialLivingExperience,NA,NA,NA,NA,NA,NA
favorable,NA,favorable,NA,NA,NA,poor,NA,NA,poor,someHighSchool,NA,NA,unskilledDomesticPersonalService
favorable,asLongAsEligible,favorableAndUnfavorable,NA,ambivalentFriend,ambivalent,good,NA,favorable,poor,NA,NA,NA,unskilledDomesticPersonalService
favorable,untilBetterPlace,NA,conflict,liberalFriend,ambivalent,NA,biracialLivingExperience,favorable,NA,gradeSchoolOrLess,NA,NA,NA
favorable,neverThoughtAboutIt,unfavorable,mutualAcomodataion,liberalFriend,liberal,poor,biracialLivingExperience,favorable,poor,someHighSchool,favorable,NA,unskilledDomesticPersonalService
favorable,untilBetterPlace,favorable,NA,liberalFriend,liberal,poor,NA,favorable,hardToSay,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
favorable,NA,favorable,NA,liberalFriend,ambivalent,good,NA,favorable,poor,NA,NA,NA,unskilledDomesticPersonalService
favorable,untilBetterPlace,favorable,NA,NA,NA,NA,NA,favorable,NA,someHighSchool,unfavorable,NA,NA
favorable,NA,favorable,NA,NA,NA,NA,NA,favorable,NA,NA,NA,NA,NA
favorable,untilBetterPlace,favorable,NA,NA,NA,NA,NA,NA,NA,someHighSchool,NA,NA,NA
favorable,neverThoughtAboutIt,NA,mutualAcomodataion,NA,NA,poor,biracialLivingExperience,favorable,good,NA,favorable,NA,unskilledDomesticPersonalService
NA,NA,favorable,mutualAcomodataion,liberalFriend,liberal,poor,biracialLivingExperience,NA,poor,NA,NA,NA,unskilledDomesticPersonalService
favorable,NA,NA,NA,NA,NA,NA,NA,NA,NA,highSchoolGraduate,NA,NA,NA
favorable,permanent,NA,mutualAcomodataion,liberalFriend,liberal,poor,biracialLivingExperience,favorable,good,someHighSchool,NA,NA,unskilledDomesticPersonalService
NA,asLongAsEligible,NA,NA,liberalFriend,liberal,NA,NA,NA,NA,someHighSchool,NA,NA,NA
NA,NA,favorableAndUnfavorable,NA,liberalFriend,liberal,poor,NA,favorable,poor,gradeSchoolOrLess,favorable,NA,unskilledDomesticPersonalService
favorable,asLongAsEligible,NA,NA,NA,NA,good,NA,favorable,hardToSay,NA,NA,NA,semiSkilled
favorable,neverThoughtAboutIt,favorable,NA,NA,NA,hardToSay,NA,favorable,poor,someHighSchool,NA,NA,unskilledDomesticPersonalService
favorable,NA,NA,NA,liberalFriend,liberal,poor,NA,favorable,poor,someHighSchool,NA,NA,semiSkilled
unfavorable,asLongAsEligible,NA,NA,NA,NA,NA,NA,favorable,NA,gradeSchoolOrLess,NA,NA,NA
favorable,untilOwnHome,NA,NA,NA,NA,NA,NA,favorable,NA,someHighSchool,NA,NA,NA
NA,NA,favorableAndUnfavorable,mutualAcomodataion,liberalFriend,ambivalent,NA,biracialLivingExperience,favorable,NA,someHighSchool,NA,NA,NA
NA,permanent,favorableAndUnfavorable,NA,ambivalentFriend,liberal,poor,NA,NA,poor,gradeSchoolOrLess,favorable,NA,unskilledDomesticPersonalService
NA,NA,unfavorable,mutualAcomodataion,liberalFriend,liberal,poor,biracialLivingExperience,NA,poor,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
favorable,asLongAsEligible,favorableAndUnfavorable,NA,liberalFriend,liberal,NA,NA,NA,NA,someHighSchool,NA,NA,NA
favorable,permanent,favorable,NA,liberalFriend,liberal,NA,NA,NA,NA,NA,favorable,NA,NA
favorable,asLongAsEligible,favorableAndUnfavorable,NA,NA,NA,good,NA,favorable,poor,someHighSchool,NA,NA,unskilledDomesticPersonalService
favorable,permanent,NA,NA,liberalFriend,liberal,NA,NA,favorable,NA,gradeSchoolOrLess,NA,NA,NA
favorable,asLongAsEligible,NA,NA,liberalFriend,ambivalent,NA,NA,NA,NA,someHighSchool,NA,NA,NA
favorable,permanent,unfavorable,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,favorable,NA,gradeSchoolOrLess,NA,NA,NA
favorable,NA,unfavorable,NA,ambivalentFriend,liberal,hardToSay,NA,NA,poor,highSchoolGraduate,NA,NA,unskilledDomesticPersonalService
favorable,untilBetterPlace,NA,conflict,NA,NA,NA,biracialLivingExperience,favorable,NA,highSchoolGraduate,favorable,NA,NA
favorable,neverThoughtAboutIt,favorable,mutualAcomodataion,ambivalentFriend,liberal,hardToSay,biracialLivingExperience,favorable,good,NA,NA,NA,unskilledDomesticPersonalService
favorable,untilBetterPlace,favorable,NA,liberalFriend,liberal,good,NA,NA,fair,highSchoolGraduate,NA,NA,whiteColorSkilled
favorable,asLongAsEligible,favorableAndUnfavorable,mutualAcomodataion,NA,NA,good,noBiracialLivingExperience,favorable,poor,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
favorable,NA,NA,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,favorable,NA,NA,favorable,NA,NA
favorable,neverThoughtAboutIt,NA,conflict,NA,NA,poor,biracialLivingExperience,favorable,poor,gradeSchoolOrLess,NA,NA,semiSkilled
favorable,asLongAsEligible,favorable,mutualAcomodataion,NA,NA,good,biracialLivingExperience,favorable,poor,NA,NA,NA,unskilledDomesticPersonalService
favorable,NA,NA,NA,ambivalentFriend,ambivalent,NA,NA,favorable,NA,NA,NA,NA,NA
NA,asLongAsEligible,NA,mutualAcomodataion,NA,NA,poor,biracialLivingExperience,favorable,hardToSay,NA,NA,NA,unskilledDomesticPersonalService
favorable,asLongAsEligible,favorableAndUnfavorable,NA,NA,NA,NA,NA,favorable,NA,NA,NA,NA,NA
favorable,NA,NA,NA,ambivalentFriend,ambivalent,poor,NA,favorable,good,highSchoolGraduate,NA,NA,semiSkilled
favorable,untilOwnHome,favorable,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,NA,NA,NA,NA,NA,NA
favorable,asLongAsEligible,unfavorable,integration,liberalFriend,liberal,NA,biracialLivingExperience,NA,NA,gradeSchoolOrLess,NA,NA,NA
favorable,NA,favorable,NA,NA,NA,NA,NA,favorable,NA,gradeSchoolOrLess,NA,favorable,NA
favorable,permanent,favorable,NA,NA,NA,NA,NA,NA,NA,someHighSchool,NA,NA,NA
favorable,neverThoughtAboutIt,NA,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,favorable,NA,gradeSchoolOrLess,NA,NA,NA
favorable,asLongAsEligible,unfavorable,NA,NA,NA,poor,NA,favorable,hardToSay,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
favorable,asLongAsEligible,NA,NA,NA,NA,NA,NA,NA,NA,highSchoolGraduate,NA,NA,NA
favorable,NA,favorableAndUnfavorable,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,NA,NA,highSchoolGraduate,NA,NA,NA
favorable,neverThoughtAboutIt,favorable,mutualAcomodataion,NA,NA,hardToSay,biracialLivingExperience,favorable,poor,NA,NA,NA,semiSkilled
favorable,untilOwnHome,NA,NA,ambivalentFriend,liberal,poor,NA,favorable,good,NA,NA,NA,unskilledDomesticPersonalService
unfavorable,asLongAsEligible,NA,conflict,NA,NA,poor,biracialLivingExperience,favorable,good,gradeSchoolOrLess,unfavorable,NA,whiteColorSkilled
favorable,asLongAsEligible,favorable,NA,NA,NA,NA,NA,NA,NA,NA,favorable,NA,NA
NA,untilBetterPlace,favorableAndUnfavorable,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,favorable,NA,NA,NA,NA,NA
unfavorable,asLongAsEligible,NA,mutualAcomodataion,NA,NA,hardToSay,biracialLivingExperience,NA,good,NA,NA,NA,semiSkilled
favorable,NA,favorable,NA,liberalFriend,liberal,NA,NA,NA,NA,NA,NA,NA,NA
unfavorable,neverThoughtAboutIt,favorable,NA,liberalFriend,ambivalent,NA,NA,favorable,NA,NA,NA,NA,NA
favorable,permanent,favorable,conflict,NA,NA,NA,biracialLivingExperience,favorable,NA,NA,NA,NA,NA
favorable,untilBetterPlace,NA,NA,NA,NA,good,NA,NA,poor,highSchoolGraduate,NA,NA,unskilledDomesticPersonalService
favorable,permanent,NA,NA,liberalFriend,liberal,NA,NA,NA,NA,gradeSchoolOrLess,NA,NA,NA
NA,NA,NA,conflict,NA,NA,NA,biracialLivingExperience,NA,NA,gradeSchoolOrLess,NA,NA,NA
favorable,untilBetterPlace,noComments,NA,NA,NA,poor,NA,favorable,hardToSay,highSchoolGraduate,NA,NA,unskilledDomesticPersonalService
favorable,asLongAsEligible,favorableAndUnfavorable,mutualAcomodataion,liberalFriend,ambivalent,fair,biracialLivingExperience,NA,fair,someHighSchool,NA,NA,unskilledDomesticPersonalService
favorable,asLongAsEligible,favorable,NA,NA,NA,NA,NA,favorable,NA,gradeSchoolOrLess,NA,NA,NA
favorable,NA,favorable,conflict,liberalFriend,liberal,NA,biracialLivingExperience,NA,NA,highSchoolGraduate,NA,NA,NA
favorable,asLongAsEligible,favorable,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,favorable,NA,someHighSchool,NA,NA,NA
favorable,neverThoughtAboutIt,favorableAndUnfavorable,NA,NA,NA,poor,NA,favorable,fair,someHighSchool,NA,NA,unskilledDomesticPersonalService
favorable,NA,NA,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,NA,NA,gradeSchoolOrLess,NA,favorable,NA
NA,NA,favorableAndUnfavorable,NA,liberalFriend,liberal,good,NA,NA,hardToSay,gradeSchoolOrLess,NA,NA,whiteColorSkilled
favorable,permanent,favorable,NA,NA,NA,good,NA,favorable,good,NA,NA,NA,whiteColorSkilled
favorable,untilBetterPlace,favorable,NA,NA,NA,NA,NA,favorable,NA,someHighSchool,NA,NA,NA
NA,asLongAsEligible,favorable,NA,liberalFriend,liberal,NA,NA,favorable,NA,someHighSchool,NA,NA,NA
favorable,asLongAsEligible,unfavorable,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,favorable,NA,NA,NA,NA,NA
favorable,permanent,unfavorable,NA,NA,NA,NA,NA,NA,NA,highSchoolGraduate,NA,NA,NA
NA,asLongAsEligible,favorable,NA,liberalFriend,liberal,NA,NA,favorable,NA,someHighSchool,favorable,NA,NA
favorable,NA,unfavorable,mutualAcomodataion,NA,NA,hardToSay,biracialLivingExperience,NA,fair,gradeSchoolOrLess,NA,NA,whiteColorSkilled
favorable,NA,favorable,NA,NA,NA,NA,NA,favorable,NA,someHighSchool,NA,NA,NA
favorable,permanent,favorable,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,favorable,NA,NA,NA,NA,NA
favorable,asLongAsEligible,unfavorable,NA,liberalFriend,liberal,hardToSay,NA,NA,hardToSay,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
favorable,permanent,favorable,mutualAcomodataion,NA,NA,fair,biracialLivingExperience,NA,poor,gradeSchoolOrLess,NA,NA,semiSkilled
NA,NA,favorable,NA,liberalFriend,liberal,poor,NA,NA,good,NA,NA,NA,unskilledDomesticPersonalService
favorable,untilOwnHome,unfavorable,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,NA,NA,gradeSchoolOrLess,NA,NA,NA
favorable,asLongAsEligible,noComments,NA,NA,NA,NA,NA,favorable,NA,NA,NA,NA,NA
unfavorable,untilBetterPlace,favorable,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,favorable,NA,someHighSchool,favorable,unfavorable,NA
NA,NA,NA,NA,NA,NA,hardToSay,NA,NA,good,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
favorable,neverThoughtAboutIt,NA,NA,liberalFriend,liberal,NA,NA,favorable,NA,NA,NA,NA,NA
favorable,untilOwnHome,unfavorable,NA,NA,NA,NA,NA,favorable,NA,gradeSchoolOrLess,NA,NA,NA
favorable,NA,favorable,NA,liberalFriend,liberal,NA,NA,NA,NA,NA,NA,NA,NA
favorable,asLongAsEligible,favorable,NA,liberalFriend,liberal,poor,NA,favorable,poor,someHighSchool,NA,favorable,unskilledDomesticPersonalService
favorable,untilOwnHome,unfavorable,NA,NA,NA,poor,NA,favorable,good,NA,NA,NA,unskilledDomesticPersonalService
favorable,neverThoughtAboutIt,unfavorable,NA,NA,NA,poor,NA,NA,poor,highSchoolGraduate,NA,NA,unskilledDomesticPersonalService
favorable,NA,favorable,NA,NA,NA,hardToSay,NA,NA,poor,highSchoolGraduate,NA,favorable,unskilledDomesticPersonalService
favorable,asLongAsEligible,favorableAndUnfavorable,mutualAcomodataion,NA,NA,poor,biracialLivingExperience,NA,good,someHighSchool,NA,NA,whiteColorSkilled
unfavorable,asLongAsEligible,favorable,conflict,NA,NA,good,biracialLivingExperience,NA,hardToSay,NA,NA,NA,unskilledDomesticPersonalService
favorable,asLongAsEligible,noComments,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,favorable,NA,gradeSchoolOrLess,NA,NA,NA
NA,NA,unfavorable,NA,liberalFriend,liberal,NA,NA,favorable,NA,NA,NA,NA,NA
favorable,NA,NA,NA,ambivalentFriend,liberal,hardToSay,NA,NA,fair,NA,NA,NA,whiteColorSkilled
favorable,untilBetterPlace,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
favorable,neverThoughtAboutIt,unfavorable,NA,NA,NA,NA,NA,favorable,NA,gradeSchoolOrLess,NA,NA,NA
favorable,asLongAsEligible,NA,NA,liberalFriend,liberal,poor,NA,favorable,good,NA,NA,NA,unskilledDomesticPersonalService
favorable,asLongAsEligible,favorable,NA,NA,NA,poor,NA,favorable,good,highSchoolGraduate,NA,NA,unskilledDomesticPersonalService
favorable,permanent,favorable,NA,ambivalentFriend,liberal,good,NA,unfavorable,poor,NA,NA,NA,semiSkilled
favorable,untilBetterPlace,NA,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,favorable,NA,NA,NA,NA,NA
favorable,asLongAsEligible,favorable,NA,liberalFriend,liberal,NA,NA,NA,NA,NA,favorable,favorable,NA
favorable,asLongAsEligible,favorable,integration,NA,NA,NA,biracialLivingExperience,favorable,NA,highSchoolGraduate,NA,favorable,NA
favorable,permanent,NA,NA,NA,NA,hardToSay,NA,favorable,poor,NA,NA,NA,semiSkilled
favorable,asLongAsEligible,favorable,mutualAcomodataion,ambivalentFriend,liberal,NA,noBiracialLivingExperience,favorable,NA,NA,NA,NA,NA
favorable,NA,favorable,NA,liberalFriend,liberal,good,NA,NA,poor,someHighSchool,NA,NA,semiSkilled
favorable,NA,noComments,NA,NA,NA,good,NA,favorable,hardToSay,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
favorable,untilOwnHome,NA,NA,liberalFriend,liberal,poor,NA,favorable,hardToSay,NA,unfavorable,NA,semiSkilled
favorable,permanent,NA,NA,ambivalentFriend,liberal,poor,NA,favorable,poor,NA,NA,NA,unskilledDomesticPersonalService
favorable,neverThoughtAboutIt,favorableAndUnfavorable,mutualAcomodataion,NA,NA,good,biracialLivingExperience,favorable,good,gradeSchoolOrLess,NA,NA,whiteColorSkilled
favorable,asLongAsEligible,NA,NA,NA,NA,NA,NA,favorable,NA,highSchoolGraduate,favorable,favorable,NA
favorable,permanent,favorable,NA,NA,NA,poor,NA,favorable,hardToSay,someHighSchool,NA,NA,whiteColorSkilled
favorable,asLongAsEligible,favorable,NA,liberalFriend,ambivalent,poor,NA,favorable,poor,NA,NA,NA,unskilledDomesticPersonalService
favorable,asLongAsEligible,favorable,conflict,ambivalentFriend,liberal,poor,biracialLivingExperience,NA,good,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
favorable,NA,favorableAndUnfavorable,NA,NA,NA,NA,NA,favorable,NA,gradeSchoolOrLess,NA,NA,NA
favorable,NA,favorableAndUnfavorable,NA,liberalFriend,liberal,NA,NA,favorable,NA,someHighSchool,NA,favorable,NA
favorable,asLongAsEligible,favorable,conflict,liberalFriend,liberal,poor,biracialLivingExperience,favorable,poor,NA,NA,NA,unskilledDomesticPersonalService
favorable,asLongAsEligible,favorable,mutualAcomodataion,ambivalentFriend,liberal,NA,biracialLivingExperience,favorable,NA,someHighSchool,favorable,NA,NA
favorable,untilOwnHome,favorable,mutualAcomodataion,ambivalentFriend,ambivalent,NA,biracialLivingExperience,unfavorable,NA,NA,NA,NA,NA
favorable,asLongAsEligible,NA,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,unfavorable,NA,highSchoolGraduate,favorable,NA,NA
favorable,asLongAsEligible,favorable,NA,NA,NA,poor,NA,favorable,good,gradeSchoolOrLess,favorable,NA,unskilledDomesticPersonalService
favorable,asLongAsEligible,favorable,NA,NA,NA,good,NA,favorable,good,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
favorable,asLongAsEligible,favorableAndUnfavorable,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,NA,NA,NA,favorable,NA,NA
NA,asLongAsEligible,unfavorable,NA,liberalFriend,liberal,hardToSay,NA,NA,hardToSay,NA,NA,NA,whiteColorSkilled
favorable,NA,favorable,NA,NA,NA,NA,NA,favorable,NA,gradeSchoolOrLess,NA,NA,NA
favorable,neverThoughtAboutIt,favorable,NA,NA,NA,fair,NA,favorable,poor,someHighSchool,NA,NA,whiteColorSkilled
favorable,asLongAsEligible,favorable,NA,NA,NA,NA,NA,favorable,NA,NA,NA,NA,NA
favorable,asLongAsEligible,favorable,NA,NA,NA,hardToSay,NA,NA,hardToSay,someHighSchool,NA,NA,semiSkilled
favorable,permanent,favorable,NA,NA,NA,poor,NA,NA,good,someHighSchool,NA,NA,unskilledDomesticPersonalService
favorable,untilBetterPlace,favorable,NA,liberalFriend,liberal,poor,NA,favorable,poor,gradeSchoolOrLess,NA,NA,semiSkilled
NA,neverThoughtAboutIt,unfavorable,mutualAcomodataion,NA,NA,fair,biracialLivingExperience,favorable,poor,NA,NA,NA,unskilledDomesticPersonalService
NA,neverThoughtAboutIt,NA,NA,liberalFriend,liberal,poor,NA,NA,poor,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
favorable,untilBetterPlace,NA,NA,liberalFriend,liberal,poor,NA,favorable,good,highSchoolGraduate,NA,NA,whiteColorSkilled
favorable,permanent,favorable,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,favorable,NA,someHighSchool,NA,NA,NA
favorable,NA,NA,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,favorable,NA,highSchoolGraduate,NA,NA,NA
favorable,NA,NA,mutualAcomodataion,liberalFriend,liberal,poor,biracialLivingExperience,NA,fair,NA,NA,unfavorable,unskilledDomesticPersonalService
favorable,asLongAsEligible,favorable,NA,liberalFriend,liberal,NA,NA,NA,NA,someHighSchool,NA,NA,NA
favorable,untilOwnHome,NA,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,NA,NA,NA,NA,NA,NA
favorable,asLongAsEligible,NA,NA,NA,NA,NA,NA,NA,NA,highSchoolGraduate,NA,NA,NA
favorable,permanent,NA,NA,liberalFriend,ambivalent,NA,NA,NA,NA,gradeSchoolOrLess,NA,NA,NA
favorable,NA,NA,NA,liberalFriend,liberal,hardToSay,NA,favorable,good,gradeSchoolOrLess,NA,NA,whiteColorSkilled
favorable,NA,favorableAndUnfavorable,NA,liberalFriend,liberal,poor,NA,NA,fair,highSchoolGraduate,NA,NA,unskilledDomesticPersonalService
favorable,NA,NA,NA,liberalFriend,liberal,NA,NA,NA,NA,NA,NA,NA,NA
favorable,NA,unfavorable,conflict,NA,NA,NA,biracialLivingExperience,favorable,NA,someHighSchool,NA,NA,NA
favorable,untilBetterPlace,unfavorable,mutualAcomodataion,NA,NA,NA,noBiracialLivingExperience,NA,NA,gradeSchoolOrLess,favorable,NA,NA
NA,neverThoughtAboutIt,favorable,NA,liberalFriend,liberal,NA,NA,NA,NA,gradeSchoolOrLess,favorable,NA,NA
favorable,untilBetterPlace,favorable,NA,NA,NA,poor,NA,NA,good,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
