id,group,evaluationOfHilltown,group,impressionOfFriends,expectations,attitudeOfFriend,attitude,transiency,evaluationOfManagement,evaluationOfPhysicalAmenities,satisfactionInField,satisfactionInWorkplace,education,evaluationOfCoResidents,pastExperience,occupation
29_b,b,NA,b,favorableAndUnfavorable,NA,liberalFriend,liberal,NA,NA,NA,NA,poor,high_school_graduate,NA,NA,white_collar_or_skilled
30_b,b,unfavorable,b,favorable,mutual_acomodation,NA,NA,untilOwnHome,NA,NA,poor,NA,some_high_school,NA,biracial_living_experience,unskilled_domestic_and_personal_service
31_b,b,favorable,b,favorableAndUnfavorable,mutual_acomodation,ambivalentFriend,liberal,NA,NA,favorable,poor,NA,some_high_school,NA,biracial_living_experience,unskilled_domestic_and_personal_service
32_b,b,favorable,b,favorable,conflict,ambivalentFriend,liberal,asLongAsEligible,NA,NA,good,fair,some_high_school,NA,biracial_living_experience,unskilled_domestic_and_personal_service
33_b,b,favorable,b,NA,conflict,NA,NA,asLongAsEligible,NA,favorable,NA,poor,high_school_graduate,NA,biracial_living_experience,white_collar_or_skilled
34_b,b,favorable,b,favorable,NA,liberalFriend,liberal,NA,NA,favorable,NA,good,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
35_b,b,favorable,b,favorableAndUnfavorable,mutual_acomodation,liberalFriend,liberal,NA,NA,favorable,NA,good,grade_school_or_less,NA,biracial_living_experience,unskilled_domestic_and_personal_service
36_b,b,favorable,b,favorable,NA,NA,NA,permanent,NA,favorable,good,NA,NA,favorable,NA,NA
37_b,b,favorable,b,unfavorable,integration,liberalFriend,liberal,neverThoughtAboutIt,NA,favorable,poor,poor,grade_school_or_less,NA,biracial_living_experience,unskilled_domestic_and_personal_service
38_b,b,favorable,b,favorableAndUnfavorable,NA,liberalFriend,liberal,asLongAsEligible,favorable,favorable,poor,NA,NA,favorable,NA,NA
39_b,b,favorable,b,favorableAndUnfavorable,NA,liberalFriend,liberal,NA,NA,NA,NA,poor,NA,NA,NA,NA
40_b,b,favorable,b,favorable,NA,ambivalentFriend,liberal,untilOwnHome,NA,favorable,poor,fair,some_high_school,NA,NA,unskilled_domestic_and_personal_service
41_b,b,favorable,b,NA,NA,NA,NA,neverThoughtAboutIt,NA,NA,hard_to_say,fair,NA,NA,NA,NA
42_b,b,favorable,b,NA,conflict,liberalFriend,liberal,asLongAsEligible,NA,favorable,poor,good,NA,favorable,biracial_living_experience,NA
43_b,b,favorable,b,favorableAndUnfavorable,mutual_acomodation,NA,NA,NA,NA,favorable,NA,poor,high_school_graduate,NA,biracial_living_experience,white_collar_or_skilled
44_b,b,favorable,b,favorableAndUnfavorable,NA,NA,NA,asLongAsEligible,NA,favorable,poor,hard_to_say,NA,NA,NA,NA
45_b,b,unfavorable,b,favorable,NA,NA,NA,asLongAsEligible,NA,favorable,poor,poor,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
46_b,b,favorable,b,NA,mutual_acomodation,NA,NA,NA,NA,favorable,poor,NA,NA,NA,biracial_living_experience,NA
47_b,b,favorable,b,favorable,NA,NA,NA,neverThoughtAboutIt,NA,favorable,NA,hard_to_say,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
48_b,b,favorable,b,NA,mutual_acomodation,liberalFriend,liberal,NA,NA,favorable,poor,NA,NA,unfavorable,biracial_living_experience,NA
49_b,b,favorable,b,favorable,mutual_acomodation,liberalFriend,liberal,asLongAsEligible,NA,NA,NA,poor,grade_school_or_less,NA,biracial_living_experience,unskilled_domestic_and_personal_service
50_b,b,favorable,b,NA,NA,liberalFriend,liberal,NA,NA,favorable,good,poor,some_high_school,NA,NA,unskilled_domestic_and_personal_service
51_b,b,favorable,b,NA,NA,liberalFriend,liberal,permanent,NA,NA,good,NA,NA,NA,NA,NA
52_b,b,NA,b,unfavorable,mutual_acomodation,NA,NA,NA,NA,favorable,poor,NA,NA,NA,biracial_living_experience,NA
53_b,b,favorable,b,favorable,NA,liberalFriend,liberal,asLongAsEligible,NA,NA,poor,poor,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
54_b,b,unfavorable,b,NA,NA,NA,NA,neverThoughtAboutIt,NA,NA,poor,poor,NA,NA,NA,NA
55_b,b,favorable,b,favorable,mutual_acomodation,liberalFriend,liberal,untilOwnHome,NA,favorable,NA,poor,some_high_school,NA,biracial_living_experience,unskilled_domestic_and_personal_service
56_b,b,favorable,b,unfavorable,mutual_acomodation,NA,NA,NA,NA,favorable,poor,poor,NA,favorable,biracial_living_experience,NA
57_b,b,favorable,b,favorable,NA,NA,NA,NA,NA,NA,poor,poor,some_high_school,NA,NA,unskilled_domestic_and_personal_service
58_b,b,NA,b,favorable,mutual_acomodation,liberalFriend,liberal,asLongAsEligible,NA,NA,NA,fair,some_high_school,NA,biracial_living_experience,unskilled_domestic_and_personal_service
59_b,b,NA,b,favorable,NA,NA,NA,NA,NA,favorable,good,poor,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
60_b,b,favorable,b,favorable,NA,NA,NA,permanent,NA,favorable,good,NA,NA,NA,NA,NA
61_b,b,favorable,b,favorable,NA,liberalFriend,ambivalent,NA,NA,favorable,poor,NA,NA,NA,NA,NA
62_b,b,favorable,b,NA,NA,ambivalentFriend,liberal,neverThoughtAboutIt,NA,favorable,fair,hard_to_say,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
63_b,b,NA,b,NA,mutual_acomodation,liberalFriend,ambivalent,untilOwnHome,NA,NA,fair,poor,some_high_school,favorable,biracial_living_experience,unskilled_domestic_and_personal_service
64_b,b,favorable,b,favorable,mutual_acomodation,ambivalentFriend,liberal,asLongAsEligible,NA,favorable,NA,NA,grade_school_or_less,NA,biracial_living_experience,unskilled_domestic_and_personal_service
65_b,b,favorable,b,favorable,NA,liberalFriend,liberal,neverThoughtAboutIt,NA,favorable,poor,NA,NA,NA,NA,NA
66_b,b,unfavorable,b,favorableAndUnfavorable,NA,NA,NA,asLongAsEligible,NA,favorable,hard_to_say,NA,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
67_b,b,favorable,b,NA,mutual_acomodation,liberalFriend,liberal,untilOwnHome,NA,NA,poor,NA,grade_school_or_less,unfavorable,biracial_living_experience,unskilled_domestic_and_personal_service
68_b,b,favorable,b,favorableAndUnfavorable,NA,NA,NA,NA,NA,NA,NA,poor,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
69_b,b,unfavorable,b,favorableAndUnfavorable,NA,NA,NA,asLongAsEligible,NA,favorable,NA,NA,grade_school_or_less,favorable,NA,unskilled_domestic_and_personal_service
70_b,b,favorable,b,favorable,mutual_acomodation,NA,NA,asLongAsEligible,NA,favorable,NA,poor,grade_school_or_less,favorable,biracial_living_experience,unskilled_domestic_and_personal_service
71_b,b,NA,b,favorable,NA,liberalFriend,liberal,untilBetterPlace,NA,favorable,NA,poor,NA,NA,NA,NA
72_b,b,NA,b,favorable,mutual_acomodation,liberalFriend,liberal,neverThoughtAboutIt,NA,NA,good,NA,some_high_school,NA,biracial_living_experience,semiskilled
73_b,b,favorable,b,favorableAndUnfavorable,NA,liberalFriend,liberal,neverThoughtAboutIt,NA,NA,good,NA,some_high_school,NA,NA,white_collar_or_skilled
74_b,b,favorable,b,favorable,conflict,NA,NA,untilBetterPlace,favorable,favorable,poor,NA,grade_school_or_less,favorable,biracial_living_experience,unskilled_domestic_and_personal_service
75_b,b,favorable,b,favorable,NA,liberalFriend,liberal,asLongAsEligible,NA,NA,poor,poor,NA,NA,NA,NA
76_b,b,favorable,b,favorable,mutual_acomodation,NA,NA,asLongAsEligible,NA,favorable,NA,poor,NA,NA,biracial_living_experience,NA
77_b,b,favorable,b,NA,mutual_acomodation,NA,NA,NA,NA,favorable,poor,NA,NA,favorable,biracial_living_experience,NA
78_b,b,favorable,b,favorable,mutual_acomodation,liberalFriend,liberal,NA,NA,favorable,NA,good,grade_school_or_less,NA,biracial_living_experience,unskilled_domestic_and_personal_service
79_b,b,favorable,b,favorable,conflict,liberalFriend,liberal,asLongAsEligible,NA,NA,NA,NA,some_high_school,NA,biracial_living_experience,unskilled_domestic_and_personal_service
80_b,b,favorable,b,NA,mutual_acomodation,NA,NA,neverThoughtAboutIt,NA,favorable,good,hard_to_say,some_high_school,NA,biracial_living_experience,unskilled_domestic_and_personal_service
81_b,b,favorable,b,favorable,NA,NA,NA,permanent,favorable,favorable,fair,NA,NA,NA,NA,NA
82_b,b,favorable,b,favorableAndUnfavorable,NA,NA,NA,NA,NA,favorable,poor,good,some_high_school,NA,NA,white_collar_or_skilled
83_b,b,favorable,b,favorable,NA,liberalFriend,liberal,NA,NA,NA,fair,NA,some_high_school,favorable,NA,semiskilled
84_b,b,favorable,b,unfavorable,conflict,liberalFriend,liberal,NA,NA,NA,NA,NA,NA,NA,biracial_living_experience,NA
85_b,b,favorable,b,unfavorable,NA,ambivalentFriend,liberal,NA,NA,NA,good,NA,NA,NA,NA,NA
86_b,b,favorable,b,favorable,NA,NA,NA,untilOwnHome,favorable,favorable,NA,fair,NA,NA,NA,NA
87_b,b,favorable,b,favorable,mutual_acomodation,NA,NA,permanent,NA,favorable,NA,NA,grade_school_or_less,NA,biracial_living_experience,unskilled_domestic_and_personal_service
88_b,b,unfavorable,b,favorable,mutual_acomodation,NA,NA,asLongAsEligible,NA,favorable,NA,NA,grade_school_or_less,NA,biracial_living_experience,unskilled_domestic_and_personal_service
89_b,b,favorable,b,favorable,integration,NA,NA,asLongAsEligible,NA,favorable,NA,poor,some_high_school,NA,biracial_living_experience,semiskilled
90_b,b,favorable,b,favorable,mutual_acomodation,NA,NA,asLongAsEligible,NA,favorable,good,NA,NA,NA,biracial_living_experience,NA
91_b,b,favorable,b,favorableAndUnfavorable,conflict,liberalFriend,liberal,untilOwnHome,NA,favorable,poor,good,some_high_school,NA,biracial_living_experience,unskilled_domestic_and_personal_service
92_b,b,favorable,b,NA,NA,liberalFriend,liberal,asLongAsEligible,NA,NA,poor,poor,high_school_graduate,NA,NA,white_collar_or_skilled
93_b,b,favorable,b,NA,NA,liberalFriend,liberal,NA,NA,NA,hard_to_say,hard_to_say,NA,NA,NA,NA
94_b,b,favorable,b,favorableAndUnfavorable,mutual_acomodation,NA,NA,untilBetterPlace,NA,favorable,hard_to_say,NA,NA,NA,biracial_living_experience,NA
95_b,b,unfavorable,b,favorable,NA,liberalFriend,ambivalent,asLongAsEligible,NA,favorable,NA,fair,NA,NA,NA,NA
96_b,b,favorable,b,NA,NA,liberalFriend,liberal,permanent,NA,NA,NA,NA,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
97_b,b,favorable,b,NA,mutual_acomodation,NA,NA,asLongAsEligible,NA,favorable,NA,NA,NA,NA,biracial_living_experience,NA
98_b,b,favorable,b,favorableAndUnfavorable,conflict,liberalFriend,liberal,asLongAsEligible,NA,NA,poor,poor,some_high_school,NA,biracial_living_experience,unskilled_domestic_and_personal_service
99_b,b,NA,b,NA,mutual_acomodation,NA,NA,asLongAsEligible,NA,NA,hard_to_say,NA,grade_school_or_less,NA,biracial_living_experience,unskilled_domestic_and_personal_service
100_b,b,favorable,b,favorable,NA,liberalFriend,liberal,neverThoughtAboutIt,NA,NA,poor,NA,NA,NA,NA,NA
101_b,b,favorable,b,favorable,conflict,liberalFriend,ambivalent,permanent,NA,favorable,NA,NA,some_high_school,NA,biracial_living_experience,semiskilled
102_b,b,favorable,b,favorableAndUnfavorable,mutual_acomodation,liberalFriend,liberal,untilBetterPlace,NA,favorable,NA,poor,grade_school_or_less,NA,no_biracial_living_experience,unskilled_domestic_and_personal_service
103_b,b,unfavorable,b,NA,NA,liberalFriend,liberal,NA,NA,favorable,poor,good,NA,NA,NA,NA
104_b,b,favorable,b,unfavorable,mutual_acomodation,NA,NA,NA,NA,favorable,poor,poor,NA,unfavorable,biracial_living_experience,NA
105_b,b,favorable,b,NA,mutual_acomodation,NA,NA,NA,NA,NA,fair,NA,NA,NA,biracial_living_experience,NA
106_b,b,favorable,b,favorableAndUnfavorable,integration,NA,NA,neverThoughtAboutIt,NA,favorable,poor,NA,NA,NA,biracial_living_experience,NA
107_b,b,favorable,b,NA,conflict,NA,NA,neverThoughtAboutIt,NA,favorable,poor,poor,grade_school_or_less,NA,biracial_living_experience,unskilled_domestic_and_personal_service
108_b,b,favorable,b,NA,mutual_acomodation,ambivalentFriend,liberal,asLongAsEligible,favorable,favorable,poor,NA,grade_school_or_less,NA,biracial_living_experience,unskilled_domestic_and_personal_service
109_b,b,favorable,b,unfavorable,NA,liberalFriend,liberal,NA,NA,favorable,hard_to_say,hard_to_say,some_high_school,favorable,NA,unskilled_domestic_and_personal_service
110_b,b,favorable,b,NA,NA,liberalFriend,liberal,neverThoughtAboutIt,NA,NA,good,NA,NA,NA,NA,NA
111_b,b,favorable,b,favorable,NA,NA,NA,asLongAsEligible,NA,favorable,good,hard_to_say,NA,NA,NA,NA
112_b,b,favorable,b,favorable,NA,liberalFriend,ambivalent,permanent,NA,NA,NA,good,high_school_graduate,NA,NA,semiskilled
113_b,b,favorable,b,NA,NA,liberalFriend,liberal,permanent,NA,favorable,hard_to_say,NA,grade_school_or_less,NA,NA,semiskilled
114_b,b,favorable,b,NA,NA,NA,NA,neverThoughtAboutIt,NA,favorable,NA,poor,grade_school_or_less,favorable,NA,unskilled_domestic_and_personal_service
115_b,b,favorable,b,NA,mutual_acomodation,liberalFriend,liberal,NA,NA,favorable,fair,NA,grade_school_or_less,NA,no_biracial_living_experience,unskilled_domestic_and_personal_service
116_b,b,favorable,b,NA,mutual_acomodation,liberalFriend,liberal,asLongAsEligible,NA,favorable,NA,NA,high_school_graduate,NA,biracial_living_experience,unskilled_domestic_and_personal_service
117_b,b,favorable,b,NA,NA,NA,NA,NA,NA,NA,good,NA,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
118_b,b,unfavorable,b,NA,mutual_acomodation,NA,NA,permanent,NA,NA,NA,NA,high_school_graduate,unfavorable,biracial_living_experience,unskilled_domestic_and_personal_service
119_b,b,favorable,b,favorableAndUnfavorable,NA,liberalFriend,liberal,asLongAsEligible,NA,favorable,NA,good,grade_school_or_less,NA,NA,white_collar_or_skilled
120_b,b,favorable,b,favorable,NA,NA,NA,neverThoughtAboutIt,NA,favorable,NA,NA,high_school_graduate,favorable,NA,white_collar_or_skilled
121_b,b,favorable,b,favorable,NA,liberalFriend,ambivalent,untilBetterPlace,NA,favorable,NA,hard_to_say,grade_school_or_less,NA,NA,semiskilled
122_b,b,favorable,b,favorableAndUnfavorable,conflict,NA,NA,neverThoughtAboutIt,NA,NA,poor,poor,some_high_school,favorable,no_biracial_living_experience,unskilled_domestic_and_personal_service
123_b,b,favorable,b,favorable,conflict,ambivalentFriend,liberal,NA,NA,favorable,NA,NA,grade_school_or_less,NA,biracial_living_experience,unskilled_domestic_and_personal_service
124_b,b,unfavorable,b,NA,mutual_acomodation,liberalFriend,liberal,untilOwnHome,NA,favorable,NA,poor,grade_school_or_less,NA,biracial_living_experience,unskilled_domestic_and_personal_service
125_b,b,NA,b,favorable,integration,NA,NA,neverThoughtAboutIt,NA,NA,poor,fair,NA,NA,biracial_living_experience,NA
126_b,b,favorable,b,noComments,NA,liberalFriend,liberal,untilOwnHome,NA,NA,good,poor,NA,NA,NA,NA
127_b,b,favorable,b,unfavorable,mutual_acomodation,liberalFriend,liberal,permanent,NA,NA,poor,poor,high_school_graduate,NA,no_biracial_living_experience,unskilled_domestic_and_personal_service
128_b,b,favorable,b,favorable,NA,liberalFriend,liberal,untilBetterPlace,NA,NA,NA,NA,grade_school_or_less,NA,NA,white_collar_or_skilled
129_b,b,favorable,b,unfavorable,NA,NA,NA,untilBetterPlace,NA,NA,hard_to_say,poor,NA,NA,NA,NA
130_b,b,favorable,b,noComments,NA,NA,NA,neverThoughtAboutIt,NA,NA,poor,NA,some_high_school,NA,NA,semiskilled
131_b,b,favorable,b,favorableAndUnfavorable,NA,liberalFriend,liberal,NA,NA,NA,NA,NA,grade_school_or_less,NA,NA,white_collar_or_skilled
132_b,b,NA,b,unfavorable,NA,liberalFriend,liberal,asLongAsEligible,NA,favorable,good,poor,NA,NA,NA,NA
133_b,b,favorable,b,unfavorable,mutual_acomodation,NA,NA,NA,NA,favorable,poor,poor,high_school_graduate,NA,no_biracial_living_experience,unskilled_domestic_and_personal_service
134_b,b,favorable,b,favorableAndUnfavorable,NA,NA,NA,asLongAsEligible,unfavorable,NA,NA,NA,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
135_b,b,favorable,b,favorableAndUnfavorable,NA,NA,NA,asLongAsEligible,NA,NA,poor,NA,NA,NA,NA,NA
136_b,b,favorable,b,NA,NA,liberalFriend,liberal,asLongAsEligible,NA,NA,NA,poor,high_school_graduate,NA,NA,unskilled_domestic_and_personal_service
137_b,b,favorable,b,NA,mutual_acomodation,liberalFriend,liberal,permanent,NA,NA,poor,NA,NA,NA,biracial_living_experience,NA
138_b,b,favorable,b,favorable,NA,NA,NA,neverThoughtAboutIt,NA,favorable,NA,poor,grade_school_or_less,NA,NA,white_collar_or_skilled
139_b,b,favorable,b,NA,mutual_acomodation,NA,NA,untilBetterPlace,NA,unfavorable,poor,NA,NA,NA,biracial_living_experience,NA
140_b,b,favorable,b,unfavorable,NA,liberalFriend,liberal,NA,favorable,NA,poor,poor,NA,NA,NA,NA
141_b,b,favorable,b,favorable,NA,liberalFriend,liberal,permanent,NA,favorable,good,NA,NA,NA,NA,NA
142_b,b,favorable,b,NA,NA,liberalFriend,liberal,NA,NA,NA,hard_to_say,NA,high_school_graduate,NA,NA,unskilled_domestic_and_personal_service
143_b,b,favorable,b,NA,mutual_acomodation,NA,NA,NA,favorable,NA,good,NA,grade_school_or_less,NA,biracial_living_experience,unskilled_domestic_and_personal_service
144_b,b,favorable,b,unfavorable,NA,NA,NA,asLongAsEligible,NA,favorable,NA,NA,grade_school_or_less,NA,NA,semiskilled
145_b,b,favorable,b,NA,integration,liberalFriend,liberal,asLongAsEligible,NA,favorable,poor,NA,high_school_graduate,NA,biracial_living_experience,unskilled_domestic_and_personal_service
146_b,b,unfavorable,b,favorable,NA,liberalFriend,liberal,untilBetterPlace,NA,favorable,NA,NA,some_high_school,NA,NA,white_collar_or_skilled
147_b,b,favorable,b,NA,mutual_acomodation,liberalFriend,liberal,NA,NA,favorable,NA,hard_to_say,grade_school_or_less,NA,biracial_living_experience,semiskilled
148_b,b,favorable,b,NA,mutual_acomodation,liberalFriend,liberal,asLongAsEligible,NA,favorable,poor,NA,NA,NA,biracial_living_experience,NA
149_b,b,NA,b,NA,mutual_acomodation,liberalFriend,liberal,asLongAsEligible,NA,favorable,poor,NA,grade_school_or_less,favorable,biracial_living_experience,unskilled_domestic_and_personal_service
150_b,b,NA,b,NA,NA,liberalFriend,liberal,untilBetterPlace,NA,NA,hard_to_say,NA,NA,NA,NA,NA
151_b,b,favorable,b,favorable,NA,NA,NA,permanent,NA,unfavorable,poor,NA,grade_school_or_less,NA,NA,white_collar_or_skilled
152_b,b,favorable,b,favorableAndUnfavorable,mutual_acomodation,liberalFriend,liberal,permanent,NA,NA,fair,NA,NA,NA,biracial_living_experience,NA
153_b,b,favorable,b,NA,mutual_acomodation,NA,NA,asLongAsEligible,NA,NA,NA,poor,high_school_graduate,NA,biracial_living_experience,unskilled_domestic_and_personal_service
154_b,b,favorable,b,NA,NA,liberalFriend,liberal,neverThoughtAboutIt,NA,NA,NA,NA,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
155_b,b,unfavorable,b,NA,conflict,liberalFriend,liberal,untilOwnHome,NA,NA,NA,poor,some_high_school,NA,biracial_living_experience,semiskilled
156_b,b,favorable,b,unfavorable,NA,ambivalentFriend,ambivalent,asLongAsEligible,unfavorable,favorable,poor,NA,some_high_school,NA,NA,semiskilled
157_b,b,favorable,b,favorable,NA,liberalFriend,liberal,asLongAsEligible,NA,favorable,NA,poor,grade_school_or_less,unfavorable,NA,unskilled_domestic_and_personal_service
158_b,b,favorable,b,favorableAndUnfavorable,NA,NA,NA,asLongAsEligible,NA,NA,poor,fair,NA,NA,NA,NA
159_b,b,favorable,b,favorableAndUnfavorable,NA,liberalFriend,liberal,untilBetterPlace,NA,NA,hard_to_say,good,some_high_school,NA,NA,unskilled_domestic_and_personal_service
160_b,b,favorable,b,favorable,NA,liberalFriend,liberal,permanent,NA,favorable,good,hard_to_say,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
161_b,b,favorable,b,favorableAndUnfavorable,NA,NA,NA,NA,NA,favorable,poor,NA,grade_school_or_less,NA,NA,semiskilled
162_b,b,favorable,b,unfavorable,NA,NA,NA,neverThoughtAboutIt,NA,NA,hard_to_say,poor,grade_school_or_less,favorable,NA,unskilled_domestic_and_personal_service
163_b,b,favorable,b,NA,NA,NA,NA,NA,favorable,NA,poor,NA,NA,NA,NA,NA
164_b,b,favorable,b,NA,conflict,NA,NA,asLongAsEligible,NA,NA,poor,NA,high_school_graduate,NA,no_biracial_living_experience,unskilled_domestic_and_personal_service
165_b,b,favorable,b,favorable,NA,NA,NA,permanent,NA,favorable,NA,poor,grade_school_or_less,NA,NA,white_collar_or_skilled
166_b,b,favorable,b,unfavorable,NA,liberalFriend,liberal,NA,NA,NA,NA,poor,high_school_graduate,NA,NA,semiskilled
167_b,b,NA,b,favorable,mutual_acomodation,liberalFriend,liberal,NA,NA,favorable,poor,NA,NA,NA,biracial_living_experience,NA
168_b,b,NA,b,NA,NA,NA,NA,neverThoughtAboutIt,NA,favorable,fair,NA,some_high_school,NA,NA,unskilled_domestic_and_personal_service
169_b,b,NA,b,favorable,NA,liberalFriend,liberal,neverThoughtAboutIt,NA,favorable,NA,poor,some_high_school,NA,NA,semiskilled
170_b,b,favorable,b,unfavorable,NA,ambivalentFriend,liberal,NA,NA,favorable,NA,good,NA,NA,NA,NA
171_b,b,favorable,b,favorableAndUnfavorable,integration,liberalFriend,liberal,permanent,NA,favorable,poor,NA,grade_school_or_less,NA,biracial_living_experience,unskilled_domestic_and_personal_service
172_b,b,favorable,b,favorable,integration,ambivalentFriend,ambivalent,untilOwnHome,NA,favorable,NA,poor,some_high_school,NA,biracial_living_experience,unskilled_domestic_and_personal_service
173_b,b,favorable,b,favorable,NA,liberalFriend,liberal,NA,NA,favorable,NA,NA,NA,NA,NA,NA
174_b,b,favorable,b,NA,NA,liberalFriend,liberal,NA,NA,favorable,poor,poor,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
175_b,b,unfavorable,b,favorableAndUnfavorable,NA,liberalFriend,liberal,NA,NA,NA,NA,poor,grade_school_or_less,NA,NA,white_collar_or_skilled
176_b,b,favorable,b,favorable,mutual_acomodation,NA,NA,permanent,NA,favorable,poor,poor,some_high_school,NA,biracial_living_experience,unskilled_domestic_and_personal_service
177_b,b,favorable,b,favorable,NA,NA,NA,neverThoughtAboutIt,NA,NA,poor,NA,grade_school_or_less,NA,NA,semiskilled
178_b,b,favorable,b,NA,NA,ambivalentFriend,liberal,asLongAsEligible,favorable,NA,NA,NA,some_high_school,NA,NA,white_collar_or_skilled
179_b,b,NA,b,favorable,NA,NA,NA,NA,favorable,NA,fair,NA,high_school_graduate,NA,NA,semiskilled
180_b,b,favorable,b,favorableAndUnfavorable,NA,NA,NA,untilOwnHome,NA,NA,poor,poor,high_school_graduate,favorable,NA,unskilled_domestic_and_personal_service
