evaluationOfHilltown,transiency,impressionOfFriends,expectations,attitudeOfFriend,attitude,satisfactionInWorkplace,pastExperience,evaluationOfPhysicalAmenities,satisfactionInField,education,evaluationOfCoResidents,evaluationOfManagement,occupation
favorable,asLongAsEligible,favorable,NA,NA,NA,fair,NA,favorable,poor,highSchoolGraduate,favorable,NA,unskilledDomesticPersonalService
favorable,NA,noComments,NA,NA,NA,poor,NA,NA,fair,highSchoolGraduate,NA,NA,unskilledDomesticPersonalService
favorable,NA,favorableAndUnfavorable,NA,ambivalentFriend,liberal,NA,NA,NA,NA,NA,NA,NA,NA
NA,asLongAsEligible,favorable,conflict,NA,NA,hardToSay,biracialLivingExperience,favorable,good,gradeSchoolOrLess,NA,NA,semiSkilled
favorable,NA,favorable,NA,liberalFriend,liberal,NA,NA,favorable,NA,NA,favorable,favorable,NA
favorable,untilBetterPlace,noComments,NA,liberalFriend,liberal,good,NA,favorable,poor,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
favorable,untilBetterPlace,NA,conflict,liberalFriend,liberal,NA,biracialLivingExperience,NA,NA,someHighSchool,NA,favorable,NA
favorable,untilBetterPlace,NA,NA,NA,NA,NA,NA,NA,NA,someHighSchool,NA,NA,NA
favorable,asLongAsEligible,NA,mutualAcomodataion,ambivalentFriend,liberal,poor,biracialLivingExperience,favorable,good,someHighSchool,NA,NA,unskilledDomesticPersonalService
NA,asLongAsEligible,favorable,NA,liberalFriend,liberal,fair,NA,favorable,poor,NA,favorable,NA,whiteColorSkilled
NA,NA,favorable,NA,liberalFriend,liberal,poor,NA,NA,good,highSchoolGraduate,NA,NA,unskilledDomesticPersonalService
favorable,asLongAsEligible,favorable,NA,NA,NA,NA,NA,favorable,NA,NA,NA,NA,NA
favorable,untilOwnHome,favorableAndUnfavorable,NA,ambivalentFriend,liberal,NA,NA,favorable,NA,gradeSchoolOrLess,NA,NA,NA
NA,neverThoughtAboutIt,NA,mutualAcomodataion,NA,NA,poor,biracialLivingExperience,NA,good,NA,NA,NA,semiSkilled
favorable,permanent,favorable,conflict,NA,NA,NA,noBiracialLivingExperience,favorable,NA,gradeSchoolOrLess,NA,NA,NA
favorable,permanent,favorable,mutualAcomodataion,NA,NA,good,biracialLivingExperience,NA,hardToSay,someHighSchool,favorable,NA,unskilledDomesticPersonalService
NA,permanent,NA,NA,NA,NA,NA,NA,NA,NA,gradeSchoolOrLess,NA,NA,NA
unfavorable,asLongAsEligible,NA,mutualAcomodataion,liberalFriend,liberal,hardToSay,biracialLivingExperience,NA,good,highSchoolGraduate,favorable,favorable,unskilledDomesticPersonalService
favorable,asLongAsEligible,NA,NA,NA,NA,fair,NA,NA,fair,gradeSchoolOrLess,NA,NA,semiSkilled
favorable,asLongAsEligible,favorable,NA,ambivalentFriend,liberal,NA,NA,favorable,NA,someHighSchool,NA,NA,NA
favorable,NA,favorable,NA,liberalFriend,liberal,poor,NA,NA,fair,someHighSchool,NA,NA,semiSkilled
unfavorable,neverThoughtAboutIt,NA,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,NA,NA,gradeSchoolOrLess,favorable,NA,NA
favorable,NA,NA,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,favorable,NA,gradeSchoolOrLess,favorable,NA,NA
favorable,NA,noComments,mutualAcomodataion,NA,NA,poor,biracialLivingExperience,NA,hardToSay,NA,NA,NA,semiSkilled
favorable,NA,NA,NA,NA,NA,NA,NA,NA,NA,highSchoolGraduate,NA,NA,NA
NA,NA,favorableAndUnfavorable,integration,NA,NA,NA,biracialLivingExperience,favorable,NA,gradeSchoolOrLess,NA,NA,NA
NA,asLongAsEligible,favorable,mutualAcomodataion,NA,NA,fair,biracialLivingExperience,NA,poor,highSchoolGraduate,NA,NA,semiSkilled
unfavorable,NA,favorableAndUnfavorable,NA,NA,NA,NA,NA,favorable,NA,someHighSchool,NA,NA,NA
favorable,asLongAsEligible,NA,NA,liberalFriend,liberal,NA,NA,favorable,NA,NA,favorable,NA,NA
unfavorable,untilBetterPlace,favorableAndUnfavorable,NA,NA,NA,good,NA,NA,good,gradeSchoolOrLess,favorable,NA,unskilledDomesticPersonalService
unfavorable,asLongAsEligible,favorable,mutualAcomodataion,liberalFriend,liberal,poor,biracialLivingExperience,favorable,poor,NA,NA,NA,unskilledDomesticPersonalService
favorable,NA,favorable,mutualAcomodataion,ambivalentFriend,ambivalent,good,biracialLivingExperience,favorable,good,NA,NA,NA,unskilledDomesticPersonalService
favorable,NA,unfavorable,NA,liberalFriend,liberal,NA,NA,favorable,NA,gradeSchoolOrLess,NA,NA,NA
favorable,neverThoughtAboutIt,favorableAndUnfavorable,NA,NA,NA,NA,NA,favorable,NA,NA,NA,NA,NA
favorable,asLongAsEligible,NA,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,favorable,NA,gradeSchoolOrLess,NA,NA,NA
favorable,permanent,favorable,mutualAcomodataion,NA,NA,poor,biracialLivingExperience,NA,fair,NA,NA,NA,unskilledDomesticPersonalService
unfavorable,NA,favorable,mutualAcomodataion,NA,NA,hardToSay,biracialLivingExperience,favorable,good,highSchoolGraduate,NA,NA,whiteColorSkilled
favorable,NA,NA,NA,liberalFriend,liberal,NA,NA,favorable,NA,gradeSchoolOrLess,NA,NA,NA
NA,NA,favorable,conflict,ambivalentFriend,liberal,NA,biracialLivingExperience,favorable,NA,NA,NA,NA,NA
favorable,neverThoughtAboutIt,favorableAndUnfavorable,NA,liberalFriend,liberal,hardToSay,NA,favorable,poor,NA,NA,NA,semiSkilled
favorable,asLongAsEligible,favorableAndUnfavorable,integration,NA,NA,NA,biracialLivingExperience,NA,NA,gradeSchoolOrLess,NA,NA,NA
favorable,neverThoughtAboutIt,favorable,NA,NA,NA,NA,NA,favorable,NA,NA,favorable,NA,NA
NA,asLongAsEligible,favorable,NA,liberalFriend,liberal,NA,NA,favorable,NA,NA,NA,NA,NA
favorable,NA,favorable,mutualAcomodataion,NA,NA,poor,biracialLivingExperience,favorable,poor,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
favorable,permanent,favorableAndUnfavorable,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,NA,NA,someHighSchool,NA,NA,NA
favorable,asLongAsEligible,favorableAndUnfavorable,NA,NA,NA,poor,NA,NA,hardToSay,gradeSchoolOrLess,favorable,NA,unskilledDomesticPersonalService
NA,NA,favorable,NA,liberalFriend,ambivalent,NA,NA,favorable,NA,someHighSchool,NA,NA,NA
favorable,untilOwnHome,unfavorable,conflict,liberalFriend,liberal,hardToSay,noBiracialLivingExperience,favorable,good,NA,NA,favorable,whiteColorSkilled
favorable,permanent,NA,conflict,NA,NA,good,biracialLivingExperience,NA,good,gradeSchoolOrLess,NA,NA,semiSkilled
NA,asLongAsEligible,favorableAndUnfavorable,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,favorable,NA,someHighSchool,NA,NA,NA
NA,permanent,favorable,NA,liberalFriend,liberal,NA,NA,favorable,NA,gradeSchoolOrLess,NA,NA,NA
unfavorable,NA,NA,NA,liberalFriend,liberal,hardToSay,NA,favorable,good,NA,NA,NA,whiteColorSkilled
NA,asLongAsEligible,favorable,NA,NA,NA,good,NA,favorable,good,someHighSchool,NA,NA,unskilledDomesticPersonalService
favorable,permanent,unfavorable,conflict,ambivalentFriend,ambivalent,NA,biracialLivingExperience,favorable,NA,someHighSchool,NA,NA,NA
unfavorable,NA,favorableAndUnfavorable,mutualAcomodataion,ambivalentFriend,liberal,NA,biracialLivingExperience,favorable,NA,gradeSchoolOrLess,NA,NA,NA
favorable,asLongAsEligible,favorable,NA,NA,NA,poor,NA,favorable,good,gradeSchoolOrLess,NA,NA,whiteColorSkilled
favorable,neverThoughtAboutIt,NA,NA,NA,NA,hardToSay,NA,NA,poor,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
favorable,asLongAsEligible,favorable,NA,liberalFriend,ambivalent,NA,NA,favorable,NA,someHighSchool,NA,NA,NA
favorable,neverThoughtAboutIt,favorable,mutualAcomodataion,liberalFriend,ambivalent,hardToSay,noBiracialLivingExperience,NA,hardToSay,someHighSchool,unfavorable,NA,unskilledDomesticPersonalService
favorable,asLongAsEligible,favorable,NA,NA,NA,NA,NA,favorable,NA,NA,NA,NA,NA
NA,untilBetterPlace,favorable,conflict,liberalFriend,liberal,poor,biracialLivingExperience,NA,poor,NA,NA,NA,semiSkilled
favorable,asLongAsEligible,NA,conflict,NA,NA,NA,biracialLivingExperience,favorable,NA,gradeSchoolOrLess,NA,NA,NA
favorable,asLongAsEligible,favorable,mutualAcomodataion,NA,NA,poor,biracialLivingExperience,NA,good,NA,NA,NA,whiteColorSkilled
favorable,NA,favorable,NA,NA,NA,NA,NA,favorable,NA,someHighSchool,NA,NA,NA
favorable,NA,NA,NA,NA,NA,good,NA,NA,fair,someHighSchool,NA,NA,whiteColorSkilled
favorable,asLongAsEligible,favorableAndUnfavorable,mutualAcomodataion,liberalFriend,liberal,poor,biracialLivingExperience,NA,good,someHighSchool,NA,NA,unskilledDomesticPersonalService
unfavorable,untilBetterPlace,favorable,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,NA,NA,NA,NA,NA,NA
favorable,asLongAsEligible,favorableAndUnfavorable,conflict,NA,NA,good,biracialLivingExperience,favorable,fair,NA,NA,favorable,whiteColorSkilled
favorable,NA,NA,conflict,liberalFriend,liberal,NA,biracialLivingExperience,favorable,NA,gradeSchoolOrLess,NA,NA,NA
favorable,untilBetterPlace,unfavorable,NA,NA,NA,NA,NA,NA,NA,highSchoolGraduate,NA,NA,NA
favorable,asLongAsEligible,favorable,NA,ambivalentFriend,liberal,NA,NA,favorable,NA,highSchoolGraduate,NA,NA,NA
favorable,asLongAsEligible,favorable,NA,liberalFriend,liberal,poor,NA,favorable,good,gradeSchoolOrLess,unfavorable,NA,unskilledDomesticPersonalService
favorable,neverThoughtAboutIt,NA,mutualAcomodataion,liberalFriend,liberal,fair,biracialLivingExperience,NA,poor,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
favorable,untilOwnHome,unfavorable,mutualAcomodataion,NA,NA,good,biracialLivingExperience,favorable,hardToSay,someHighSchool,NA,favorable,unskilledDomesticPersonalService
unfavorable,NA,favorable,integration,liberalFriend,liberal,NA,biracialLivingExperience,favorable,NA,gradeSchoolOrLess,NA,NA,NA
unfavorable,NA,NA,integration,NA,NA,poor,biracialLivingExperience,NA,good,NA,NA,NA,unskilledDomesticPersonalService
favorable,permanent,favorable,conflict,NA,NA,NA,biracialLivingExperience,favorable,NA,gradeSchoolOrLess,NA,NA,NA
favorable,asLongAsEligible,favorable,NA,NA,NA,NA,NA,favorable,NA,highSchoolGraduate,NA,NA,NA
NA,asLongAsEligible,favorable,NA,liberalFriend,liberal,poor,NA,favorable,poor,NA,NA,NA,unskilledDomesticPersonalService
favorable,NA,favorable,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,NA,NA,highSchoolGraduate,unfavorable,NA,NA
favorable,neverThoughtAboutIt,favorable,NA,NA,NA,NA,NA,NA,NA,gradeSchoolOrLess,NA,NA,NA
favorable,neverThoughtAboutIt,NA,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,favorable,NA,NA,NA,NA,NA
favorable,neverThoughtAboutIt,favorable,conflict,NA,NA,NA,noBiracialLivingExperience,NA,NA,NA,NA,NA,NA
favorable,asLongAsEligible,unfavorable,NA,NA,NA,fair,NA,NA,fair,highSchoolGraduate,NA,NA,whiteColorSkilled
favorable,neverThoughtAboutIt,favorable,NA,liberalFriend,liberal,good,NA,favorable,good,someHighSchool,NA,favorable,unskilledDomesticPersonalService
favorable,NA,favorable,mutualAcomodataion,liberalFriend,liberal,poor,biracialLivingExperience,favorable,poor,highSchoolGraduate,NA,unfavorable,unskilledDomesticPersonalService
favorable,permanent,favorable,NA,liberalFriend,liberal,fair,NA,favorable,hardToSay,NA,NA,NA,unskilledDomesticPersonalService
favorable,neverThoughtAboutIt,favorable,NA,NA,NA,hardToSay,NA,NA,good,NA,NA,NA,unskilledDomesticPersonalService
favorable,permanent,favorable,NA,liberalFriend,liberal,NA,NA,favorable,NA,NA,NA,NA,NA
unfavorable,NA,favorableAndUnfavorable,NA,liberalFriend,liberal,poor,NA,favorable,fair,NA,NA,NA,unskilledDomesticPersonalService
favorable,neverThoughtAboutIt,NA,NA,NA,NA,NA,NA,favorable,NA,gradeSchoolOrLess,NA,NA,NA
favorable,asLongAsEligible,unfavorable,mutualAcomodataion,liberalFriend,ambivalent,poor,biracialLivingExperience,NA,good,gradeSchoolOrLess,NA,NA,semiSkilled
favorable,permanent,favorableAndUnfavorable,NA,ambivalentFriend,liberal,NA,NA,NA,NA,gradeSchoolOrLess,NA,NA,NA
favorable,untilOwnHome,favorableAndUnfavorable,NA,liberalFriend,liberal,poor,NA,favorable,good,someHighSchool,NA,favorable,unskilledDomesticPersonalService
favorable,NA,favorable,NA,NA,NA,NA,NA,favorable,NA,someHighSchool,NA,NA,NA
favorable,asLongAsEligible,favorable,NA,liberalFriend,liberal,fair,NA,favorable,poor,gradeSchoolOrLess,favorable,NA,unskilledDomesticPersonalService
unfavorable,asLongAsEligible,favorable,mutualAcomodataion,NA,NA,fair,biracialLivingExperience,favorable,hardToSay,NA,NA,NA,unskilledDomesticPersonalService
favorable,NA,NA,NA,ambivalentFriend,ambivalent,NA,NA,NA,NA,someHighSchool,NA,NA,NA
NA,NA,NA,NA,NA,NA,poor,NA,favorable,poor,NA,NA,NA,unskilledDomesticPersonalService
NA,permanent,favorable,NA,NA,NA,poor,NA,NA,poor,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
favorable,asLongAsEligible,favorableAndUnfavorable,NA,NA,NA,poor,NA,favorable,fair,NA,NA,NA,unskilledDomesticPersonalService
favorable,untilBetterPlace,unfavorable,NA,liberalFriend,liberal,NA,NA,favorable,NA,NA,NA,NA,NA
favorable,NA,NA,NA,liberalFriend,liberal,poor,NA,NA,fair,someHighSchool,NA,NA,whiteColorSkilled
favorable,NA,favorable,mutualAcomodataion,NA,NA,poor,biracialLivingExperience,NA,fair,NA,NA,NA,semiSkilled
NA,asLongAsEligible,favorable,NA,NA,NA,hardToSay,NA,favorable,hardToSay,highSchoolGraduate,NA,NA,unskilledDomesticPersonalService
favorable,asLongAsEligible,favorable,mutualAcomodataion,liberalFriend,ambivalent,fair,biracialLivingExperience,NA,poor,someHighSchool,favorable,NA,unskilledDomesticPersonalService
NA,neverThoughtAboutIt,favorable,NA,liberalFriend,liberal,poor,NA,favorable,poor,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
favorable,asLongAsEligible,NA,NA,liberalFriend,liberal,NA,NA,favorable,NA,highSchoolGraduate,NA,NA,NA
favorable,asLongAsEligible,favorableAndUnfavorable,conflict,liberalFriend,liberal,poor,biracialLivingExperience,NA,hardToSay,NA,NA,NA,unskilledDomesticPersonalService
favorable,neverThoughtAboutIt,NA,conflict,NA,NA,poor,noBiracialLivingExperience,favorable,good,gradeSchoolOrLess,NA,NA,semiSkilled
favorable,asLongAsEligible,favorableAndUnfavorable,integration,NA,NA,poor,biracialLivingExperience,NA,poor,NA,NA,NA,unskilledDomesticPersonalService
NA,neverThoughtAboutIt,favorableAndUnfavorable,mutualAcomodataion,NA,NA,poor,biracialLivingExperience,favorable,poor,someHighSchool,NA,NA,unskilledDomesticPersonalService
favorable,untilBetterPlace,favorable,mutualAcomodataion,NA,NA,poor,biracialLivingExperience,NA,poor,highSchoolGraduate,NA,NA,unskilledDomesticPersonalService
favorable,neverThoughtAboutIt,NA,NA,NA,NA,poor,NA,favorable,poor,someHighSchool,NA,NA,unskilledDomesticPersonalService
favorable,neverThoughtAboutIt,unfavorable,conflict,liberalFriend,liberal,good,biracialLivingExperience,favorable,fair,highSchoolGraduate,favorable,NA,unskilledDomesticPersonalService
favorable,asLongAsEligible,favorable,mutualAcomodataion,liberalFriend,liberal,poor,biracialLivingExperience,NA,poor,someHighSchool,NA,NA,semiSkilled
NA,permanent,NA,NA,liberalFriend,liberal,poor,NA,favorable,good,someHighSchool,NA,NA,unskilledDomesticPersonalService
NA,asLongAsEligible,unfavorable,NA,NA,NA,NA,NA,NA,NA,gradeSchoolOrLess,favorable,NA,NA
favorable,NA,NA,mutualAcomodataion,liberalFriend,liberal,good,biracialLivingExperience,favorable,good,NA,NA,NA,unskilledDomesticPersonalService
favorable,NA,NA,NA,NA,NA,poor,NA,favorable,poor,gradeSchoolOrLess,NA,NA,semiSkilled
favorable,untilBetterPlace,unfavorable,NA,NA,NA,hardToSay,NA,favorable,good,highSchoolGraduate,NA,NA,unskilledDomesticPersonalService
favorable,NA,favorableAndUnfavorable,mutualAcomodataion,NA,NA,fair,biracialLivingExperience,favorable,poor,gradeSchoolOrLess,favorable,NA,unskilledDomesticPersonalService
favorable,neverThoughtAboutIt,NA,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,favorable,NA,someHighSchool,NA,NA,NA
favorable,untilBetterPlace,NA,mutualAcomodataion,NA,NA,fair,biracialLivingExperience,favorable,hardToSay,NA,favorable,NA,semiSkilled
favorable,untilOwnHome,favorable,conflict,ambivalentFriend,ambivalent,poor,biracialLivingExperience,NA,poor,someHighSchool,NA,NA,unskilledDomesticPersonalService
favorable,NA,favorable,mutualAcomodataion,liberalFriend,liberal,good,biracialLivingExperience,favorable,hardToSay,someHighSchool,NA,NA,unskilledDomesticPersonalService
favorable,NA,favorable,integration,NA,NA,poor,biracialLivingExperience,NA,poor,NA,NA,favorable,unskilledDomesticPersonalService
favorable,NA,favorable,NA,NA,NA,NA,NA,NA,NA,gradeSchoolOrLess,NA,NA,NA
favorable,permanent,NA,NA,liberalFriend,liberal,poor,NA,favorable,good,highSchoolGraduate,NA,NA,whiteColorSkilled
favorable,neverThoughtAboutIt,NA,NA,NA,NA,poor,NA,favorable,good,NA,NA,NA,unskilledDomesticPersonalService
NA,NA,NA,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,favorable,NA,gradeSchoolOrLess,NA,NA,NA
favorable,untilBetterPlace,favorable,NA,NA,NA,poor,NA,NA,fair,gradeSchoolOrLess,favorable,NA,unskilledDomesticPersonalService
favorable,permanent,favorableAndUnfavorable,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,NA,NA,gradeSchoolOrLess,NA,unfavorable,NA
favorable,asLongAsEligible,NA,NA,NA,NA,NA,NA,favorable,NA,gradeSchoolOrLess,NA,NA,NA
NA,neverThoughtAboutIt,favorable,conflict,ambivalentFriend,ambivalent,NA,biracialLivingExperience,NA,NA,NA,NA,NA,NA
favorable,neverThoughtAboutIt,favorableAndUnfavorable,NA,NA,NA,fair,NA,NA,poor,NA,NA,NA,semiSkilled
favorable,NA,favorable,conflict,liberalFriend,liberal,poor,biracialLivingExperience,NA,poor,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
favorable,asLongAsEligible,favorable,mutualAcomodataion,ambivalentFriend,liberal,good,noBiracialLivingExperience,favorable,poor,NA,unfavorable,favorable,whiteColorSkilled
favorable,untilBetterPlace,favorable,mutualAcomodataion,NA,NA,fair,biracialLivingExperience,favorable,fair,gradeSchoolOrLess,favorable,NA,unskilledDomesticPersonalService
favorable,untilOwnHome,favorable,NA,NA,NA,NA,NA,favorable,NA,gradeSchoolOrLess,NA,NA,NA
favorable,untilOwnHome,favorable,NA,liberalFriend,ambivalent,good,NA,favorable,poor,highSchoolGraduate,NA,NA,unskilledDomesticPersonalService
favorable,permanent,NA,conflict,NA,NA,NA,biracialLivingExperience,favorable,NA,someHighSchool,NA,NA,NA
favorable,asLongAsEligible,NA,mutualAcomodataion,NA,NA,fair,biracialLivingExperience,favorable,hardToSay,NA,favorable,NA,unskilledDomesticPersonalService
favorable,untilBetterPlace,noComments,integration,NA,NA,hardToSay,biracialLivingExperience,favorable,poor,NA,NA,NA,unskilledDomesticPersonalService
favorable,asLongAsEligible,unfavorable,NA,liberalFriend,liberal,NA,NA,NA,NA,NA,NA,NA,NA
favorable,asLongAsEligible,favorable,NA,ambivalentFriend,liberal,poor,NA,favorable,good,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
NA,untilBetterPlace,favorable,conflict,liberalFriend,liberal,NA,biracialLivingExperience,favorable,NA,NA,NA,NA,NA
favorable,untilBetterPlace,NA,NA,liberalFriend,liberal,good,NA,favorable,poor,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
favorable,NA,unfavorable,mutualAcomodataion,NA,NA,good,biracialLivingExperience,NA,hardToSay,NA,NA,NA,unskilledDomesticPersonalService
favorable,asLongAsEligible,NA,NA,liberalFriend,liberal,hardToSay,NA,favorable,hardToSay,NA,favorable,NA,unskilledDomesticPersonalService
favorable,permanent,favorable,NA,NA,NA,NA,NA,unfavorable,NA,gradeSchoolOrLess,NA,NA,NA
favorable,neverThoughtAboutIt,favorable,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,favorable,NA,gradeSchoolOrLess,NA,NA,NA
unfavorable,asLongAsEligible,NA,NA,NA,NA,NA,NA,NA,NA,gradeSchoolOrLess,NA,NA,NA
favorable,NA,favorableAndUnfavorable,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,favorable,NA,someHighSchool,NA,NA,NA
favorable,asLongAsEligible,favorable,mutualAcomodataion,NA,NA,good,biracialLivingExperience,favorable,poor,someHighSchool,NA,NA,whiteColorSkilled
favorable,NA,favorable,conflict,NA,NA,NA,biracialLivingExperience,favorable,NA,NA,NA,NA,NA
favorable,neverThoughtAboutIt,favorable,conflict,liberalFriend,liberal,NA,biracialLivingExperience,favorable,NA,someHighSchool,NA,NA,NA
favorable,NA,NA,NA,NA,NA,poor,NA,NA,poor,highSchoolGraduate,NA,NA,unskilledDomesticPersonalService
