evaluationOfHilltown,transiency,impressionOfFriends,expectations,attitudeOfFriend,attitude,satisfactionInWorkplace,pastExperience,evaluationOfPhysicalAmenities,satisfactionInField,education,evaluationOfCoResidents,evaluationOfManagement,occupation
favorable,NA,favorable,NA,liberalFriend,liberal,poor,NA,unfavorable,poor,highSchoolGraduate,NA,NA,unskilledDomesticPersonalService
unfavorable,neverThoughtAboutIt,favorableAndUnfavorable,NA,NA,NA,NA,NA,NA,NA,gradeSchoolOrLess,NA,NA,NA
favorable,permanent,favorable,NA,liberalFriend,liberal,NA,NA,NA,NA,gradeSchoolOrLess,NA,NA,NA
favorable,asLongAsEligible,favorableAndUnfavorable,NA,liberalFriend,liberal,fair,NA,NA,hardToSay,gradeSchoolOrLess,NA,unfavorable,semiSkilled
favorable,NA,favorable,NA,ambivalentFriend,ambivalent,poor,NA,favorable,hardToSay,NA,NA,NA,unskilledDomesticPersonalService
NA,NA,NA,conflict,NA,NA,poor,noBiracialLivingExperience,favorable,poor,NA,NA,NA,unskilledDomesticPersonalService
favorable,untilBetterPlace,favorable,mutualAcomodataion,ambivalentFriend,ambivalent,NA,noBiracialLivingExperience,favorable,NA,NA,NA,NA,NA
favorable,permanent,favorable,NA,liberalFriend,liberal,poor,NA,favorable,good,NA,NA,favorable,whiteColorSkilled
favorable,permanent,favorable,NA,liberalFriend,liberal,NA,NA,NA,NA,someHighSchool,NA,NA,NA
favorable,NA,favorableAndUnfavorable,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,favorable,NA,highSchoolGraduate,NA,NA,NA
NA,asLongAsEligible,NA,NA,liberalFriend,liberal,NA,NA,NA,NA,someHighSchool,NA,NA,NA
favorable,neverThoughtAboutIt,NA,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,NA,NA,gradeSchoolOrLess,NA,NA,NA
favorable,asLongAsEligible,favorableAndUnfavorable,NA,ambivalentFriend,liberal,poor,NA,NA,poor,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
favorable,NA,favorable,mutualAcomodataion,liberalFriend,liberal,hardToSay,biracialLivingExperience,NA,poor,someHighSchool,NA,NA,unskilledDomesticPersonalService
favorable,asLongAsEligible,NA,NA,NA,NA,NA,NA,favorable,NA,someHighSchool,favorable,NA,NA
favorable,NA,NA,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,favorable,NA,gradeSchoolOrLess,NA,favorable,NA
NA,asLongAsEligible,unfavorable,NA,liberalFriend,liberal,good,NA,favorable,poor,someHighSchool,unfavorable,NA,unskilledDomesticPersonalService
favorable,asLongAsEligible,unfavorable,integration,NA,NA,poor,biracialLivingExperience,favorable,fair,NA,NA,NA,semiSkilled
favorable,asLongAsEligible,favorable,NA,NA,NA,poor,NA,NA,poor,someHighSchool,NA,NA,unskilledDomesticPersonalService
NA,neverThoughtAboutIt,favorable,NA,NA,NA,poor,NA,NA,poor,highSchoolGraduate,NA,favorable,unskilledDomesticPersonalService
unfavorable,untilBetterPlace,NA,NA,liberalFriend,liberal,poor,NA,NA,poor,NA,NA,NA,unskilledDomesticPersonalService
NA,untilBetterPlace,NA,NA,NA,NA,fair,NA,NA,poor,NA,NA,NA,unskilledDomesticPersonalService
favorable,asLongAsEligible,NA,NA,liberalFriend,ambivalent,NA,NA,favorable,NA,gradeSchoolOrLess,NA,NA,NA
favorable,NA,NA,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,favorable,NA,someHighSchool,NA,NA,NA
favorable,NA,NA,conflict,NA,NA,poor,noBiracialLivingExperience,NA,poor,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
favorable,untilBetterPlace,favorableAndUnfavorable,mutualAcomodataion,NA,NA,fair,biracialLivingExperience,favorable,fair,someHighSchool,NA,NA,semiSkilled
NA,neverThoughtAboutIt,favorableAndUnfavorable,NA,liberalFriend,liberal,good,NA,NA,fair,gradeSchoolOrLess,NA,NA,semiSkilled
favorable,asLongAsEligible,NA,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,NA,NA,someHighSchool,NA,NA,NA
favorable,neverThoughtAboutIt,NA,NA,NA,NA,NA,NA,NA,NA,gradeSchoolOrLess,NA,NA,NA
favorable,asLongAsEligible,NA,NA,ambivalentFriend,liberal,poor,NA,favorable,fair,gradeSchoolOrLess,favorable,NA,semiSkilled
NA,permanent,noComments,NA,liberalFriend,liberal,poor,NA,favorable,poor,NA,NA,NA,unskilledDomesticPersonalService
favorable,NA,favorableAndUnfavorable,NA,ambivalentFriend,liberal,NA,NA,favorable,NA,someHighSchool,NA,NA,NA
favorable,untilOwnHome,favorable,NA,NA,NA,NA,NA,NA,NA,gradeSchoolOrLess,NA,favorable,NA
favorable,asLongAsEligible,NA,conflict,NA,NA,NA,biracialLivingExperience,favorable,NA,someHighSchool,NA,NA,NA
NA,neverThoughtAboutIt,favorable,NA,NA,NA,NA,NA,favorable,NA,NA,NA,NA,NA
favorable,asLongAsEligible,favorableAndUnfavorable,NA,liberalFriend,liberal,NA,NA,NA,NA,someHighSchool,NA,NA,NA
favorable,asLongAsEligible,favorable,NA,NA,NA,NA,NA,favorable,NA,gradeSchoolOrLess,favorable,NA,NA
unfavorable,neverThoughtAboutIt,NA,NA,NA,NA,good,NA,favorable,good,gradeSchoolOrLess,NA,unfavorable,unskilledDomesticPersonalService
favorable,asLongAsEligible,unfavorable,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,favorable,NA,gradeSchoolOrLess,NA,NA,NA
favorable,asLongAsEligible,favorableAndUnfavorable,integration,NA,NA,poor,biracialLivingExperience,NA,poor,someHighSchool,NA,NA,whiteColorSkilled
favorable,asLongAsEligible,favorable,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,NA,NA,someHighSchool,NA,NA,NA
favorable,NA,favorable,NA,liberalFriend,liberal,NA,NA,favorable,NA,someHighSchool,NA,NA,NA
favorable,NA,favorable,integration,NA,NA,poor,biracialLivingExperience,NA,poor,gradeSchoolOrLess,NA,NA,semiSkilled
unfavorable,neverThoughtAboutIt,favorableAndUnfavorable,NA,liberalFriend,liberal,fair,NA,favorable,poor,someHighSchool,NA,NA,unskilledDomesticPersonalService
favorable,asLongAsEligible,NA,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,NA,NA,someHighSchool,NA,favorable,NA
favorable,NA,NA,NA,liberalFriend,liberal,poor,NA,favorable,poor,NA,NA,NA,unskilledDomesticPersonalService
favorable,NA,NA,NA,liberalFriend,liberal,NA,NA,favorable,NA,someHighSchool,NA,NA,NA
NA,untilBetterPlace,favorable,NA,NA,NA,poor,NA,NA,fair,someHighSchool,NA,NA,unskilledDomesticPersonalService
favorable,untilOwnHome,unfavorable,conflict,NA,NA,NA,biracialLivingExperience,favorable,NA,NA,NA,NA,NA
favorable,permanent,favorable,mutualAcomodataion,liberalFriend,liberal,poor,biracialLivingExperience,NA,good,gradeSchoolOrLess,NA,NA,semiSkilled
favorable,NA,favorable,mutualAcomodataion,NA,NA,fair,biracialLivingExperience,favorable,good,NA,NA,NA,whiteColorSkilled
favorable,asLongAsEligible,favorableAndUnfavorable,mutualAcomodataion,liberalFriend,liberal,hardToSay,biracialLivingExperience,NA,poor,gradeSchoolOrLess,NA,NA,semiSkilled
favorable,asLongAsEligible,unfavorable,NA,NA,NA,fair,NA,favorable,poor,someHighSchool,favorable,NA,unskilledDomesticPersonalService
favorable,asLongAsEligible,NA,conflict,NA,NA,good,biracialLivingExperience,favorable,poor,someHighSchool,NA,NA,semiSkilled
favorable,permanent,favorableAndUnfavorable,integration,liberalFriend,liberal,poor,biracialLivingExperience,NA,poor,NA,NA,NA,unskilledDomesticPersonalService
favorable,NA,favorable,NA,NA,NA,NA,NA,favorable,NA,NA,NA,NA,NA
favorable,permanent,favorable,conflict,liberalFriend,liberal,NA,biracialLivingExperience,NA,NA,highSchoolGraduate,NA,NA,NA
favorable,NA,favorable,mutualAcomodataion,NA,NA,fair,biracialLivingExperience,favorable,poor,NA,NA,NA,unskilledDomesticPersonalService
favorable,untilOwnHome,favorable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
favorable,untilBetterPlace,favorableAndUnfavorable,mutualAcomodataion,liberalFriend,ambivalent,poor,biracialLivingExperience,favorable,poor,NA,NA,NA,unskilledDomesticPersonalService
favorable,asLongAsEligible,NA,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,favorable,NA,highSchoolGraduate,NA,NA,NA
favorable,NA,favorable,NA,NA,NA,NA,NA,favorable,NA,highSchoolGraduate,NA,NA,NA
NA,neverThoughtAboutIt,favorable,mutualAcomodataion,liberalFriend,liberal,poor,biracialLivingExperience,favorable,fair,someHighSchool,favorable,NA,whiteColorSkilled
favorable,asLongAsEligible,favorableAndUnfavorable,NA,liberalFriend,liberal,NA,NA,favorable,NA,NA,NA,NA,NA
favorable,asLongAsEligible,noComments,mutualAcomodataion,NA,NA,hardToSay,biracialLivingExperience,favorable,poor,gradeSchoolOrLess,favorable,NA,unskilledDomesticPersonalService
favorable,asLongAsEligible,favorable,NA,liberalFriend,liberal,poor,NA,favorable,poor,NA,favorable,NA,semiSkilled
favorable,untilBetterPlace,favorable,NA,liberalFriend,liberal,poor,NA,NA,fair,highSchoolGraduate,NA,NA,whiteColorSkilled
favorable,asLongAsEligible,favorable,conflict,ambivalentFriend,liberal,NA,biracialLivingExperience,favorable,NA,someHighSchool,NA,unfavorable,NA
favorable,asLongAsEligible,favorable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
favorable,NA,favorableAndUnfavorable,NA,liberalFriend,liberal,good,NA,NA,good,NA,NA,NA,unskilledDomesticPersonalService
favorable,NA,NA,mutualAcomodataion,liberalFriend,liberal,good,biracialLivingExperience,favorable,good,gradeSchoolOrLess,NA,NA,whiteColorSkilled
favorable,neverThoughtAboutIt,favorable,NA,NA,NA,NA,NA,NA,NA,gradeSchoolOrLess,NA,NA,NA
favorable,untilBetterPlace,favorableAndUnfavorable,NA,NA,NA,poor,NA,favorable,good,highSchoolGraduate,NA,NA,semiSkilled
favorable,permanent,favorableAndUnfavorable,NA,liberalFriend,liberal,NA,NA,favorable,NA,someHighSchool,favorable,NA,NA
favorable,neverThoughtAboutIt,favorableAndUnfavorable,mutualAcomodataion,NA,NA,poor,biracialLivingExperience,favorable,poor,NA,NA,NA,unskilledDomesticPersonalService
favorable,asLongAsEligible,noComments,mutualAcomodataion,NA,NA,fair,biracialLivingExperience,favorable,hardToSay,someHighSchool,NA,NA,semiSkilled
favorable,untilOwnHome,NA,mutualAcomodataion,liberalFriend,liberal,hardToSay,biracialLivingExperience,favorable,poor,NA,NA,NA,semiSkilled
NA,NA,NA,NA,NA,NA,NA,NA,favorable,NA,NA,NA,NA,NA
favorable,neverThoughtAboutIt,favorable,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,favorable,NA,highSchoolGraduate,NA,NA,NA
favorable,untilBetterPlace,unfavorable,mutualAcomodataion,NA,NA,good,biracialLivingExperience,NA,poor,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
favorable,NA,favorable,NA,NA,NA,fair,NA,favorable,poor,NA,NA,NA,unskilledDomesticPersonalService
favorable,permanent,favorable,integration,NA,NA,NA,biracialLivingExperience,favorable,NA,highSchoolGraduate,NA,NA,NA
favorable,untilBetterPlace,favorable,mutualAcomodataion,NA,NA,poor,biracialLivingExperience,NA,hardToSay,someHighSchool,NA,NA,unskilledDomesticPersonalService
favorable,permanent,favorable,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,NA,NA,gradeSchoolOrLess,NA,NA,NA
favorable,neverThoughtAboutIt,favorable,NA,liberalFriend,liberal,poor,NA,favorable,hardToSay,NA,NA,NA,semiSkilled
favorable,NA,favorable,NA,NA,NA,good,NA,favorable,good,NA,NA,NA,unskilledDomesticPersonalService
NA,asLongAsEligible,NA,NA,NA,NA,good,NA,favorable,poor,NA,NA,NA,unskilledDomesticPersonalService
favorable,NA,favorable,NA,NA,NA,poor,NA,NA,poor,NA,NA,NA,unskilledDomesticPersonalService
favorable,asLongAsEligible,unfavorable,integration,liberalFriend,liberal,NA,biracialLivingExperience,NA,NA,NA,NA,NA,NA
favorable,untilOwnHome,favorable,NA,liberalFriend,liberal,poor,NA,NA,fair,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
favorable,NA,unfavorable,integration,NA,NA,poor,biracialLivingExperience,NA,fair,someHighSchool,favorable,NA,unskilledDomesticPersonalService
NA,neverThoughtAboutIt,favorable,mutualAcomodataion,liberalFriend,ambivalent,good,noBiracialLivingExperience,NA,fair,NA,NA,NA,whiteColorSkilled
favorable,asLongAsEligible,NA,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,NA,NA,NA,favorable,NA,NA
favorable,asLongAsEligible,favorable,NA,NA,NA,poor,NA,favorable,good,NA,NA,NA,semiSkilled
favorable,neverThoughtAboutIt,favorable,conflict,NA,NA,NA,biracialLivingExperience,NA,NA,highSchoolGraduate,NA,NA,NA
favorable,NA,NA,NA,NA,NA,NA,NA,favorable,NA,someHighSchool,NA,NA,NA
favorable,untilBetterPlace,favorable,NA,NA,NA,hardToSay,NA,favorable,poor,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
favorable,untilBetterPlace,favorableAndUnfavorable,NA,NA,NA,poor,NA,favorable,good,NA,NA,NA,whiteColorSkilled
favorable,untilBetterPlace,favorable,NA,liberalFriend,liberal,poor,NA,favorable,good,NA,favorable,favorable,semiSkilled
favorable,NA,NA,NA,liberalFriend,liberal,hardToSay,NA,favorable,fair,gradeSchoolOrLess,favorable,NA,whiteColorSkilled
favorable,asLongAsEligible,favorableAndUnfavorable,NA,liberalFriend,liberal,NA,NA,NA,NA,highSchoolGraduate,favorable,NA,NA
favorable,NA,favorable,NA,NA,NA,fair,NA,NA,poor,NA,NA,favorable,semiSkilled
favorable,asLongAsEligible,favorable,mutualAcomodataion,NA,NA,hardToSay,biracialLivingExperience,favorable,hardToSay,someHighSchool,NA,NA,unskilledDomesticPersonalService
favorable,asLongAsEligible,favorable,NA,NA,NA,poor,NA,favorable,good,someHighSchool,NA,NA,whiteColorSkilled
favorable,NA,unfavorable,NA,NA,NA,good,NA,favorable,poor,gradeSchoolOrLess,NA,NA,whiteColorSkilled
favorable,permanent,favorable,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,favorable,NA,highSchoolGraduate,NA,NA,NA
favorable,untilOwnHome,NA,mutualAcomodataion,NA,NA,poor,biracialLivingExperience,favorable,poor,NA,NA,NA,unskilledDomesticPersonalService
favorable,NA,favorable,NA,liberalFriend,liberal,poor,NA,NA,poor,NA,NA,NA,unskilledDomesticPersonalService
favorable,permanent,favorableAndUnfavorable,NA,NA,NA,NA,NA,favorable,NA,NA,favorable,NA,NA
favorable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
favorable,untilOwnHome,favorable,NA,liberalFriend,liberal,poor,NA,favorable,good,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
favorable,untilBetterPlace,unfavorable,NA,NA,NA,NA,NA,favorable,NA,someHighSchool,favorable,NA,NA
favorable,asLongAsEligible,NA,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,favorable,NA,gradeSchoolOrLess,NA,NA,NA
favorable,permanent,unfavorable,NA,NA,NA,poor,NA,favorable,poor,NA,NA,NA,unskilledDomesticPersonalService
favorable,NA,NA,NA,liberalFriend,liberal,poor,NA,NA,poor,someHighSchool,NA,NA,semiSkilled
favorable,asLongAsEligible,unfavorable,conflict,liberalFriend,ambivalent,poor,biracialLivingExperience,NA,good,NA,NA,favorable,semiSkilled
favorable,NA,favorable,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,NA,NA,NA,NA,NA,NA
favorable,untilOwnHome,favorable,NA,liberalFriend,liberal,NA,NA,favorable,NA,highSchoolGraduate,NA,NA,NA
favorable,untilOwnHome,unfavorable,conflict,NA,NA,NA,noBiracialLivingExperience,favorable,NA,gradeSchoolOrLess,NA,NA,NA
favorable,neverThoughtAboutIt,favorable,conflict,ambivalentFriend,ambivalent,NA,biracialLivingExperience,NA,NA,NA,unfavorable,NA,NA
favorable,asLongAsEligible,unfavorable,NA,ambivalentFriend,liberal,NA,NA,NA,NA,gradeSchoolOrLess,NA,NA,NA
favorable,untilBetterPlace,favorable,NA,NA,NA,hardToSay,NA,favorable,poor,gradeSchoolOrLess,NA,NA,whiteColorSkilled
favorable,permanent,favorable,NA,liberalFriend,liberal,NA,NA,NA,NA,gradeSchoolOrLess,NA,NA,NA
favorable,NA,NA,NA,liberalFriend,ambivalent,NA,NA,unfavorable,NA,NA,NA,NA,NA
unfavorable,asLongAsEligible,favorable,NA,NA,NA,hardToSay,NA,NA,poor,NA,NA,NA,semiSkilled
favorable,NA,unfavorable,mutualAcomodataion,NA,NA,poor,biracialLivingExperience,NA,poor,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
favorable,NA,NA,integration,liberalFriend,liberal,fair,biracialLivingExperience,favorable,poor,NA,NA,NA,unskilledDomesticPersonalService
favorable,NA,NA,NA,liberalFriend,liberal,hardToSay,NA,favorable,hardToSay,gradeSchoolOrLess,NA,NA,whiteColorSkilled
favorable,neverThoughtAboutIt,NA,conflict,NA,NA,good,noBiracialLivingExperience,NA,good,someHighSchool,NA,NA,whiteColorSkilled
favorable,neverThoughtAboutIt,NA,NA,NA,NA,hardToSay,NA,favorable,good,gradeSchoolOrLess,favorable,NA,unskilledDomesticPersonalService
favorable,untilBetterPlace,favorable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
favorable,untilOwnHome,NA,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,favorable,NA,gradeSchoolOrLess,NA,NA,NA
favorable,permanent,NA,NA,NA,NA,NA,NA,favorable,NA,NA,NA,NA,NA
NA,permanent,favorable,NA,NA,NA,NA,NA,favorable,NA,gradeSchoolOrLess,NA,NA,NA
favorable,NA,NA,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,NA,NA,gradeSchoolOrLess,NA,NA,NA
favorable,asLongAsEligible,favorableAndUnfavorable,NA,NA,NA,NA,NA,favorable,NA,someHighSchool,favorable,NA,NA
unfavorable,asLongAsEligible,NA,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,NA,NA,gradeSchoolOrLess,NA,NA,NA
favorable,asLongAsEligible,favorable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,permanent,favorable,NA,ambivalentFriend,liberal,fair,NA,NA,hardToSay,NA,NA,NA,unskilledDomesticPersonalService
NA,NA,favorable,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,favorable,NA,someHighSchool,NA,NA,NA
favorable,NA,favorable,NA,NA,NA,poor,NA,NA,hardToSay,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
favorable,asLongAsEligible,favorableAndUnfavorable,mutualAcomodataion,liberalFriend,liberal,poor,biracialLivingExperience,favorable,hardToSay,NA,NA,NA,unskilledDomesticPersonalService
NA,asLongAsEligible,favorable,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,favorable,NA,gradeSchoolOrLess,NA,NA,NA
favorable,untilBetterPlace,NA,conflict,NA,NA,fair,biracialLivingExperience,favorable,poor,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
favorable,permanent,NA,conflict,ambivalentFriend,liberal,NA,biracialLivingExperience,favorable,NA,NA,NA,NA,NA
favorable,NA,favorable,NA,NA,NA,NA,NA,favorable,NA,highSchoolGraduate,favorable,NA,NA
favorable,asLongAsEligible,NA,mutualAcomodataion,ambivalentFriend,liberal,fair,biracialLivingExperience,favorable,poor,NA,NA,NA,unskilledDomesticPersonalService
favorable,untilBetterPlace,NA,NA,liberalFriend,ambivalent,NA,NA,NA,NA,highSchoolGraduate,NA,NA,NA
favorable,asLongAsEligible,favorable,NA,liberalFriend,ambivalent,good,NA,NA,hardToSay,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
favorable,asLongAsEligible,favorable,NA,liberalFriend,liberal,good,NA,favorable,poor,NA,NA,NA,unskilledDomesticPersonalService
unfavorable,untilBetterPlace,favorable,NA,NA,NA,NA,NA,favorable,NA,NA,favorable,NA,NA
unfavorable,asLongAsEligible,favorableAndUnfavorable,NA,NA,NA,NA,NA,favorable,NA,highSchoolGraduate,NA,NA,NA
favorable,NA,favorable,mutualAcomodataion,NA,NA,hardToSay,biracialLivingExperience,favorable,good,gradeSchoolOrLess,NA,NA,semiSkilled
favorable,asLongAsEligible,favorable,NA,liberalFriend,liberal,NA,NA,favorable,NA,NA,NA,NA,NA
favorable,asLongAsEligible,NA,NA,NA,NA,good,NA,favorable,poor,highSchoolGraduate,NA,NA,unskilledDomesticPersonalService
favorable,asLongAsEligible,favorable,mutualAcomodataion,liberalFriend,liberal,good,biracialLivingExperience,NA,poor,NA,NA,NA,whiteColorSkilled
favorable,NA,unfavorable,NA,liberalFriend,liberal,NA,NA,favorable,NA,NA,favorable,NA,NA
favorable,untilBetterPlace,favorableAndUnfavorable,NA,NA,NA,NA,NA,favorable,NA,someHighSchool,NA,NA,NA
favorable,asLongAsEligible,unfavorable,NA,liberalFriend,liberal,hardToSay,NA,unfavorable,hardToSay,highSchoolGraduate,NA,NA,whiteColorSkilled
favorable,NA,unfavorable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
favorable,NA,favorable,conflict,liberalFriend,liberal,NA,biracialLivingExperience,favorable,NA,NA,NA,NA,NA
favorable,permanent,NA,NA,NA,NA,good,NA,favorable,poor,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
favorable,neverThoughtAboutIt,NA,mutualAcomodataion,NA,NA,poor,biracialLivingExperience,NA,poor,gradeSchoolOrLess,NA,NA,semiSkilled
favorable,asLongAsEligible,favorable,NA,liberalFriend,liberal,hardToSay,NA,favorable,fair,highSchoolGraduate,NA,NA,unskilledDomesticPersonalService
favorable,NA,NA,NA,NA,NA,poor,NA,NA,poor,gradeSchoolOrLess,NA,favorable,unskilledDomesticPersonalService
favorable,asLongAsEligible,favorable,NA,NA,NA,NA,NA,favorable,NA,NA,NA,NA,NA
favorable,neverThoughtAboutIt,NA,NA,liberalFriend,liberal,poor,NA,NA,good,NA,NA,NA,unskilledDomesticPersonalService
unfavorable,asLongAsEligible,favorable,mutualAcomodataion,ambivalentFriend,liberal,NA,noBiracialLivingExperience,favorable,NA,someHighSchool,favorable,favorable,NA
favorable,NA,unfavorable,NA,liberalFriend,liberal,good,NA,favorable,poor,highSchoolGraduate,NA,NA,unskilledDomesticPersonalService
favorable,neverThoughtAboutIt,NA,NA,ambivalentFriend,ambivalent,NA,NA,favorable,NA,NA,NA,NA,NA
favorable,neverThoughtAboutIt,favorable,NA,NA,NA,NA,NA,NA,NA,highSchoolGraduate,NA,NA,NA
favorable,untilBetterPlace,favorable,NA,liberalFriend,liberal,NA,NA,favorable,NA,highSchoolGraduate,NA,NA,NA
favorable,NA,noComments,NA,NA,NA,hardToSay,NA,favorable,poor,someHighSchool,favorable,NA,unskilledDomesticPersonalService
favorable,NA,favorable,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,favorable,NA,gradeSchoolOrLess,NA,NA,NA
favorable,permanent,favorable,conflict,liberalFriend,liberal,poor,biracialLivingExperience,favorable,hardToSay,someHighSchool,NA,NA,semiSkilled
favorable,NA,favorableAndUnfavorable,NA,NA,NA,poor,NA,favorable,poor,NA,NA,NA,unskilledDomesticPersonalService
favorable,permanent,favorable,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,NA,NA,NA,NA,NA,NA
favorable,asLongAsEligible,unfavorable,mutualAcomodataion,liberalFriend,liberal,poor,biracialLivingExperience,favorable,poor,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
favorable,NA,NA,NA,NA,NA,poor,NA,favorable,good,someHighSchool,favorable,NA,unskilledDomesticPersonalService
favorable,NA,favorable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
favorable,asLongAsEligible,favorableAndUnfavorable,integration,liberalFriend,liberal,NA,biracialLivingExperience,NA,NA,NA,NA,NA,NA
favorable,asLongAsEligible,NA,integration,liberalFriend,liberal,good,biracialLivingExperience,NA,poor,NA,NA,NA,whiteColorSkilled
