evaluationOfHilltown,transiency,impressionOfFriends,expectations,attitudeOfFriend,attitude,satisfactionInWorkplace,pastExperience,evaluationOfPhysicalAmenities,satisfactionInField,education,evaluationOfCoResidents,evaluationOfManagement,occupation
favorable,permanent,NA,NA,NA,NA,poor,NA,favorable,good,NA,NA,NA,unskilledDomesticPersonalService
favorable,permanent,favorable,conflict,ambivalentFriend,ambivalent,NA,biracialLivingExperience,favorable,NA,NA,NA,NA,NA
NA,NA,NA,mutualAcomodataion,liberalFriend,liberal,poor,biracialLivingExperience,NA,poor,gradeSchoolOrLess,favorable,NA,semiSkilled
favorable,asLongAsEligible,favorable,NA,liberalFriend,liberal,fair,NA,favorable,poor,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
favorable,NA,favorable,NA,liberalFriend,liberal,hardToSay,NA,favorable,poor,gradeSchoolOrLess,favorable,NA,semiSkilled
NA,asLongAsEligible,NA,mutualAcomodataion,liberalFriend,liberal,poor,biracialLivingExperience,favorable,poor,gradeSchoolOrLess,NA,favorable,unskilledDomesticPersonalService
unfavorable,asLongAsEligible,NA,NA,NA,NA,poor,NA,NA,good,NA,NA,NA,semiSkilled
favorable,untilBetterPlace,favorable,NA,liberalFriend,liberal,fair,NA,NA,poor,NA,NA,NA,unskilledDomesticPersonalService
favorable,neverThoughtAboutIt,favorable,NA,NA,NA,poor,NA,NA,good,NA,NA,NA,unskilledDomesticPersonalService
favorable,NA,unfavorable,NA,NA,NA,NA,NA,NA,NA,gradeSchoolOrLess,NA,NA,NA
favorable,untilBetterPlace,favorableAndUnfavorable,NA,NA,NA,poor,NA,NA,good,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
favorable,NA,NA,NA,liberalFriend,liberal,NA,NA,NA,NA,NA,NA,NA,NA
favorable,NA,favorable,conflict,NA,NA,NA,biracialLivingExperience,NA,NA,highSchoolGraduate,NA,NA,NA
favorable,NA,favorable,mutualAcomodataion,liberalFriend,liberal,good,biracialLivingExperience,NA,poor,highSchoolGraduate,favorable,NA,unskilledDomesticPersonalService
favorable,permanent,unfavorable,NA,liberalFriend,liberal,hardToSay,NA,favorable,hardToSay,someHighSchool,NA,NA,unskilledDomesticPersonalService
favorable,asLongAsEligible,favorable,NA,NA,NA,NA,NA,favorable,NA,NA,NA,NA,NA
favorable,permanent,unfavorable,NA,liberalFriend,liberal,NA,NA,favorable,NA,highSchoolGraduate,NA,NA,NA
favorable,asLongAsEligible,NA,NA,liberalFriend,liberal,NA,NA,favorable,NA,gradeSchoolOrLess,NA,NA,NA
favorable,permanent,NA,conflict,liberalFriend,liberal,poor,noBiracialLivingExperience,favorable,fair,NA,NA,NA,unskilledDomesticPersonalService
favorable,NA,favorable,mutualAcomodataion,liberalFriend,liberal,poor,biracialLivingExperience,favorable,poor,NA,NA,favorable,unskilledDomesticPersonalService
favorable,asLongAsEligible,favorable,conflict,liberalFriend,ambivalent,poor,biracialLivingExperience,favorable,poor,someHighSchool,NA,NA,unskilledDomesticPersonalService
favorable,asLongAsEligible,favorableAndUnfavorable,NA,NA,NA,poor,NA,favorable,fair,NA,NA,NA,whiteColorSkilled
favorable,NA,NA,NA,NA,NA,poor,NA,favorable,poor,someHighSchool,NA,NA,unskilledDomesticPersonalService
favorable,NA,unfavorable,NA,NA,NA,hardToSay,NA,favorable,good,someHighSchool,NA,NA,unskilledDomesticPersonalService
favorable,asLongAsEligible,NA,NA,NA,NA,NA,NA,favorable,NA,NA,NA,NA,NA
favorable,NA,favorable,NA,NA,NA,NA,NA,NA,NA,gradeSchoolOrLess,NA,NA,NA
favorable,asLongAsEligible,favorableAndUnfavorable,NA,NA,NA,poor,NA,NA,poor,someHighSchool,NA,NA,unskilledDomesticPersonalService
favorable,NA,unfavorable,NA,liberalFriend,liberal,NA,NA,NA,NA,gradeSchoolOrLess,favorable,NA,NA
favorable,asLongAsEligible,unfavorable,NA,NA,NA,fair,NA,NA,good,highSchoolGraduate,NA,NA,semiSkilled
favorable,neverThoughtAboutIt,NA,NA,liberalFriend,liberal,NA,NA,NA,NA,NA,NA,NA,NA
favorable,asLongAsEligible,unfavorable,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,unfavorable,NA,NA,favorable,NA,NA
favorable,neverThoughtAboutIt,favorable,NA,liberalFriend,liberal,hardToSay,NA,favorable,poor,NA,NA,NA,whiteColorSkilled
favorable,NA,favorableAndUnfavorable,mutualAcomodataion,NA,NA,poor,biracialLivingExperience,NA,poor,someHighSchool,NA,NA,unskilledDomesticPersonalService
favorable,neverThoughtAboutIt,favorableAndUnfavorable,conflict,NA,NA,hardToSay,biracialLivingExperience,favorable,hardToSay,gradeSchoolOrLess,NA,NA,semiSkilled
favorable,asLongAsEligible,favorable,NA,NA,NA,NA,NA,NA,NA,gradeSchoolOrLess,NA,NA,NA
favorable,asLongAsEligible,favorableAndUnfavorable,NA,NA,NA,poor,NA,NA,poor,someHighSchool,NA,favorable,semiSkilled
favorable,NA,favorable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
favorable,asLongAsEligible,noComments,NA,NA,NA,NA,NA,favorable,NA,someHighSchool,NA,NA,NA
favorable,asLongAsEligible,NA,integration,NA,NA,NA,biracialLivingExperience,NA,NA,someHighSchool,NA,NA,NA
favorable,neverThoughtAboutIt,favorable,NA,NA,NA,NA,NA,favorable,NA,highSchoolGraduate,unfavorable,NA,NA
favorable,NA,favorable,mutualAcomodataion,NA,NA,poor,biracialLivingExperience,favorable,hardToSay,gradeSchoolOrLess,NA,NA,semiSkilled
favorable,untilBetterPlace,NA,NA,liberalFriend,liberal,NA,NA,favorable,NA,gradeSchoolOrLess,NA,NA,NA
favorable,asLongAsEligible,favorable,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,NA,NA,someHighSchool,NA,NA,NA
favorable,NA,NA,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,favorable,NA,NA,NA,NA,NA
favorable,NA,NA,NA,liberalFriend,liberal,NA,NA,NA,NA,NA,NA,NA,NA
favorable,untilOwnHome,favorableAndUnfavorable,NA,NA,NA,poor,NA,favorable,poor,highSchoolGraduate,NA,NA,unskilledDomesticPersonalService
unfavorable,NA,NA,integration,liberalFriend,liberal,NA,biracialLivingExperience,favorable,NA,highSchoolGraduate,NA,NA,NA
favorable,neverThoughtAboutIt,favorable,NA,NA,NA,hardToSay,NA,NA,hardToSay,gradeSchoolOrLess,favorable,NA,whiteColorSkilled
favorable,asLongAsEligible,NA,conflict,NA,NA,poor,biracialLivingExperience,favorable,poor,someHighSchool,NA,NA,unskilledDomesticPersonalService
unfavorable,NA,favorableAndUnfavorable,NA,NA,NA,poor,NA,NA,good,NA,NA,NA,unskilledDomesticPersonalService
favorable,untilBetterPlace,favorableAndUnfavorable,NA,liberalFriend,liberal,NA,NA,favorable,NA,NA,NA,NA,NA
favorable,NA,favorableAndUnfavorable,NA,NA,NA,poor,NA,NA,hardToSay,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
favorable,untilBetterPlace,NA,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,favorable,NA,NA,NA,NA,NA
unfavorable,asLongAsEligible,unfavorable,NA,liberalFriend,liberal,poor,NA,favorable,good,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
favorable,untilBetterPlace,favorable,NA,liberalFriend,liberal,fair,NA,NA,hardToSay,someHighSchool,NA,NA,unskilledDomesticPersonalService
favorable,untilOwnHome,NA,NA,liberalFriend,liberal,poor,NA,favorable,fair,NA,NA,NA,semiSkilled
NA,untilBetterPlace,NA,conflict,NA,NA,NA,biracialLivingExperience,favorable,NA,NA,NA,NA,NA
unfavorable,untilBetterPlace,favorable,NA,NA,NA,poor,NA,NA,hardToSay,someHighSchool,NA,NA,unskilledDomesticPersonalService
favorable,NA,unfavorable,NA,liberalFriend,liberal,NA,NA,favorable,NA,gradeSchoolOrLess,NA,NA,NA
favorable,neverThoughtAboutIt,noComments,NA,NA,NA,hardToSay,NA,favorable,poor,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
NA,permanent,unfavorable,NA,NA,NA,poor,NA,favorable,poor,NA,NA,NA,unskilledDomesticPersonalService
favorable,asLongAsEligible,NA,conflict,liberalFriend,liberal,NA,biracialLivingExperience,NA,NA,someHighSchool,unfavorable,NA,NA
favorable,permanent,unfavorable,mutualAcomodataion,NA,NA,poor,biracialLivingExperience,favorable,good,NA,NA,NA,whiteColorSkilled
favorable,untilBetterPlace,favorable,mutualAcomodataion,NA,NA,poor,biracialLivingExperience,favorable,poor,highSchoolGraduate,NA,NA,unskilledDomesticPersonalService
favorable,asLongAsEligible,favorable,mutualAcomodataion,NA,NA,poor,biracialLivingExperience,favorable,good,someHighSchool,NA,NA,semiSkilled
favorable,neverThoughtAboutIt,favorable,mutualAcomodataion,NA,NA,poor,biracialLivingExperience,favorable,poor,gradeSchoolOrLess,NA,NA,whiteColorSkilled
favorable,NA,favorableAndUnfavorable,NA,liberalFriend,liberal,good,NA,favorable,poor,NA,NA,NA,unskilledDomesticPersonalService
unfavorable,asLongAsEligible,unfavorable,conflict,NA,NA,poor,biracialLivingExperience,favorable,hardToSay,NA,NA,NA,unskilledDomesticPersonalService
favorable,NA,favorable,conflict,liberalFriend,liberal,hardToSay,biracialLivingExperience,favorable,poor,someHighSchool,NA,NA,unskilledDomesticPersonalService
favorable,permanent,NA,mutualAcomodataion,NA,NA,hardToSay,biracialLivingExperience,favorable,poor,NA,NA,NA,unskilledDomesticPersonalService
favorable,asLongAsEligible,NA,conflict,NA,NA,poor,biracialLivingExperience,favorable,poor,NA,NA,NA,semiSkilled
favorable,asLongAsEligible,unfavorable,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,favorable,NA,someHighSchool,NA,NA,NA
favorable,neverThoughtAboutIt,favorable,NA,liberalFriend,liberal,poor,NA,unfavorable,poor,someHighSchool,NA,NA,semiSkilled
favorable,asLongAsEligible,favorable,NA,NA,NA,good,NA,favorable,hardToSay,gradeSchoolOrLess,NA,NA,semiSkilled
favorable,neverThoughtAboutIt,favorable,NA,liberalFriend,ambivalent,hardToSay,NA,favorable,poor,highSchoolGraduate,NA,NA,whiteColorSkilled
NA,untilOwnHome,favorable,NA,liberalFriend,liberal,NA,NA,NA,NA,gradeSchoolOrLess,NA,NA,NA
favorable,untilBetterPlace,NA,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,favorable,NA,NA,favorable,NA,NA
favorable,permanent,favorableAndUnfavorable,NA,liberalFriend,liberal,NA,NA,NA,NA,NA,NA,NA,NA
favorable,untilBetterPlace,unfavorable,mutualAcomodataion,NA,NA,poor,noBiracialLivingExperience,NA,poor,NA,NA,NA,unskilledDomesticPersonalService
favorable,asLongAsEligible,NA,conflict,liberalFriend,liberal,fair,biracialLivingExperience,favorable,good,someHighSchool,NA,NA,whiteColorSkilled
favorable,untilBetterPlace,favorableAndUnfavorable,NA,liberalFriend,ambivalent,good,NA,favorable,good,someHighSchool,NA,NA,unskilledDomesticPersonalService
favorable,NA,favorable,NA,NA,NA,NA,NA,favorable,NA,NA,NA,NA,NA
NA,asLongAsEligible,favorableAndUnfavorable,NA,NA,NA,fair,NA,favorable,poor,NA,NA,NA,whiteColorSkilled
favorable,untilOwnHome,favorable,NA,liberalFriend,ambivalent,good,NA,NA,poor,someHighSchool,NA,NA,unskilledDomesticPersonalService
favorable,asLongAsEligible,favorable,NA,liberalFriend,ambivalent,NA,NA,favorable,NA,NA,NA,NA,NA
favorable,NA,favorable,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,favorable,NA,someHighSchool,NA,NA,NA
favorable,NA,favorable,NA,liberalFriend,liberal,fair,NA,favorable,poor,someHighSchool,NA,NA,semiSkilled
favorable,untilOwnHome,favorable,mutualAcomodataion,NA,NA,poor,biracialLivingExperience,favorable,good,NA,NA,NA,unskilledDomesticPersonalService
NA,asLongAsEligible,NA,NA,NA,NA,NA,NA,NA,NA,gradeSchoolOrLess,NA,NA,NA
favorable,NA,favorable,NA,NA,NA,poor,NA,favorable,hardToSay,NA,NA,NA,unskilledDomesticPersonalService
favorable,NA,NA,NA,NA,NA,NA,NA,favorable,NA,someHighSchool,favorable,NA,NA
favorable,asLongAsEligible,favorable,conflict,NA,NA,poor,biracialLivingExperience,favorable,poor,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
favorable,untilOwnHome,NA,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,favorable,NA,NA,unfavorable,NA,NA
NA,asLongAsEligible,favorable,NA,NA,NA,fair,NA,favorable,poor,NA,NA,NA,unskilledDomesticPersonalService
favorable,permanent,NA,NA,NA,NA,hardToSay,NA,NA,poor,NA,NA,NA,unskilledDomesticPersonalService
favorable,neverThoughtAboutIt,unfavorable,NA,NA,NA,good,NA,NA,poor,NA,NA,NA,unskilledDomesticPersonalService
favorable,untilOwnHome,NA,NA,NA,NA,poor,NA,favorable,good,NA,NA,NA,semiSkilled
favorable,asLongAsEligible,NA,NA,liberalFriend,liberal,NA,NA,favorable,NA,someHighSchool,NA,NA,NA
unfavorable,NA,NA,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,favorable,NA,NA,NA,NA,NA
favorable,untilBetterPlace,favorable,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,favorable,NA,gradeSchoolOrLess,NA,NA,NA
favorable,asLongAsEligible,NA,mutualAcomodataion,NA,NA,hardToSay,biracialLivingExperience,favorable,poor,highSchoolGraduate,NA,favorable,semiSkilled
favorable,NA,NA,NA,liberalFriend,liberal,NA,NA,unfavorable,NA,someHighSchool,NA,unfavorable,NA
favorable,asLongAsEligible,favorable,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,favorable,NA,gradeSchoolOrLess,NA,favorable,NA
NA,asLongAsEligible,favorableAndUnfavorable,NA,NA,NA,NA,NA,NA,NA,gradeSchoolOrLess,NA,NA,NA
favorable,asLongAsEligible,favorable,NA,liberalFriend,liberal,NA,NA,NA,NA,NA,NA,NA,NA
favorable,neverThoughtAboutIt,favorable,NA,liberalFriend,liberal,NA,NA,NA,NA,NA,NA,NA,NA
NA,asLongAsEligible,favorable,NA,NA,NA,NA,NA,favorable,NA,highSchoolGraduate,favorable,NA,NA
favorable,asLongAsEligible,unfavorable,NA,liberalFriend,liberal,poor,NA,favorable,poor,NA,NA,NA,semiSkilled
favorable,permanent,NA,NA,NA,NA,poor,NA,favorable,good,NA,NA,NA,unskilledDomesticPersonalService
NA,untilBetterPlace,favorable,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,favorable,NA,NA,NA,favorable,NA
favorable,asLongAsEligible,favorable,mutualAcomodataion,liberalFriend,liberal,good,biracialLivingExperience,NA,hardToSay,highSchoolGraduate,NA,NA,unskilledDomesticPersonalService
NA,untilBetterPlace,NA,NA,liberalFriend,liberal,NA,NA,favorable,NA,highSchoolGraduate,NA,NA,NA
favorable,NA,favorable,NA,NA,NA,hardToSay,NA,favorable,hardToSay,someHighSchool,NA,NA,semiSkilled
favorable,NA,favorableAndUnfavorable,NA,liberalFriend,liberal,hardToSay,NA,favorable,good,NA,NA,NA,semiSkilled
favorable,permanent,unfavorable,NA,NA,NA,NA,NA,NA,NA,NA,favorable,NA,NA
favorable,asLongAsEligible,NA,NA,NA,NA,hardToSay,NA,NA,poor,NA,favorable,NA,unskilledDomesticPersonalService
NA,neverThoughtAboutIt,NA,NA,liberalFriend,liberal,NA,NA,favorable,NA,someHighSchool,NA,favorable,NA
unfavorable,NA,favorable,NA,NA,NA,good,NA,favorable,good,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
favorable,asLongAsEligible,NA,NA,ambivalentFriend,liberal,NA,NA,NA,NA,someHighSchool,NA,NA,NA
favorable,untilOwnHome,favorable,conflict,NA,NA,good,biracialLivingExperience,NA,good,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
favorable,NA,favorable,mutualAcomodataion,liberalFriend,liberal,poor,biracialLivingExperience,favorable,good,someHighSchool,NA,NA,unskilledDomesticPersonalService
favorable,asLongAsEligible,favorable,NA,ambivalentFriend,liberal,NA,NA,favorable,NA,gradeSchoolOrLess,NA,NA,NA
NA,permanent,favorable,NA,liberalFriend,liberal,NA,NA,favorable,NA,gradeSchoolOrLess,NA,NA,NA
unfavorable,NA,favorable,mutualAcomodataion,liberalFriend,liberal,poor,biracialLivingExperience,favorable,fair,someHighSchool,NA,NA,whiteColorSkilled
favorable,NA,favorable,NA,liberalFriend,liberal,fair,NA,NA,fair,highSchoolGraduate,NA,NA,semiSkilled
favorable,NA,favorable,NA,NA,NA,hardToSay,NA,favorable,good,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
NA,asLongAsEligible,favorableAndUnfavorable,integration,NA,NA,poor,biracialLivingExperience,favorable,poor,someHighSchool,NA,NA,unskilledDomesticPersonalService
favorable,neverThoughtAboutIt,NA,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,favorable,NA,someHighSchool,NA,NA,NA
favorable,asLongAsEligible,favorable,NA,NA,NA,NA,NA,favorable,NA,someHighSchool,NA,NA,NA
favorable,asLongAsEligible,favorable,mutualAcomodataion,liberalFriend,liberal,poor,biracialLivingExperience,favorable,poor,someHighSchool,NA,NA,unskilledDomesticPersonalService
favorable,NA,favorable,conflict,NA,NA,NA,biracialLivingExperience,favorable,NA,gradeSchoolOrLess,favorable,NA,NA
favorable,NA,unfavorable,NA,liberalFriend,liberal,good,NA,favorable,good,NA,NA,NA,unskilledDomesticPersonalService
favorable,asLongAsEligible,favorableAndUnfavorable,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,NA,NA,NA,NA,NA,NA
favorable,untilOwnHome,NA,NA,NA,NA,poor,NA,favorable,good,NA,NA,NA,unskilledDomesticPersonalService
favorable,NA,favorable,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,favorable,NA,someHighSchool,NA,NA,NA
favorable,asLongAsEligible,favorable,NA,liberalFriend,liberal,good,NA,NA,good,gradeSchoolOrLess,NA,NA,whiteColorSkilled
favorable,untilBetterPlace,favorable,conflict,NA,NA,good,biracialLivingExperience,NA,good,highSchoolGraduate,NA,favorable,unskilledDomesticPersonalService
favorable,NA,NA,mutualAcomodataion,NA,NA,hardToSay,biracialLivingExperience,NA,fair,NA,favorable,NA,unskilledDomesticPersonalService
favorable,neverThoughtAboutIt,favorableAndUnfavorable,NA,NA,NA,poor,NA,favorable,poor,someHighSchool,NA,NA,whiteColorSkilled
favorable,asLongAsEligible,favorableAndUnfavorable,mutualAcomodataion,NA,NA,hardToSay,noBiracialLivingExperience,NA,poor,NA,NA,NA,unskilledDomesticPersonalService
favorable,asLongAsEligible,favorable,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,NA,NA,NA,NA,NA,NA
favorable,permanent,favorable,NA,ambivalentFriend,liberal,NA,NA,favorable,NA,someHighSchool,NA,NA,NA
favorable,untilBetterPlace,NA,mutualAcomodataion,NA,NA,fair,biracialLivingExperience,NA,good,someHighSchool,NA,NA,semiSkilled
favorable,untilBetterPlace,favorable,conflict,liberalFriend,liberal,NA,biracialLivingExperience,favorable,NA,gradeSchoolOrLess,NA,NA,NA
favorable,untilBetterPlace,NA,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,favorable,NA,someHighSchool,NA,NA,NA
favorable,untilBetterPlace,NA,conflict,NA,NA,good,biracialLivingExperience,favorable,hardToSay,highSchoolGraduate,NA,NA,unskilledDomesticPersonalService
favorable,untilBetterPlace,unfavorable,NA,liberalFriend,liberal,NA,NA,unfavorable,NA,NA,favorable,NA,NA
favorable,asLongAsEligible,unfavorable,conflict,liberalFriend,ambivalent,NA,biracialLivingExperience,favorable,NA,NA,NA,NA,NA
favorable,NA,favorable,NA,liberalFriend,liberal,NA,NA,favorable,NA,NA,NA,NA,NA
favorable,permanent,NA,mutualAcomodataion,liberalFriend,liberal,poor,biracialLivingExperience,NA,hardToSay,NA,NA,favorable,unskilledDomesticPersonalService
favorable,NA,favorable,mutualAcomodataion,NA,NA,fair,biracialLivingExperience,favorable,poor,NA,NA,NA,unskilledDomesticPersonalService
favorable,asLongAsEligible,favorable,NA,NA,NA,NA,NA,unfavorable,NA,gradeSchoolOrLess,NA,NA,NA
favorable,untilBetterPlace,favorable,conflict,NA,NA,fair,biracialLivingExperience,NA,fair,NA,NA,NA,unskilledDomesticPersonalService
favorable,permanent,unfavorable,conflict,NA,NA,fair,biracialLivingExperience,favorable,poor,NA,NA,NA,unskilledDomesticPersonalService
favorable,NA,favorable,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,favorable,NA,NA,NA,NA,NA
favorable,NA,unfavorable,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,NA,NA,gradeSchoolOrLess,NA,NA,NA
favorable,NA,favorableAndUnfavorable,NA,ambivalentFriend,ambivalent,NA,NA,favorable,NA,gradeSchoolOrLess,NA,NA,NA
favorable,neverThoughtAboutIt,NA,NA,NA,NA,poor,NA,favorable,good,NA,NA,NA,unskilledDomesticPersonalService
favorable,untilBetterPlace,favorable,mutualAcomodataion,NA,NA,NA,noBiracialLivingExperience,favorable,NA,someHighSchool,NA,NA,NA
favorable,asLongAsEligible,favorableAndUnfavorable,NA,liberalFriend,ambivalent,NA,NA,favorable,NA,NA,favorable,NA,NA
favorable,asLongAsEligible,favorableAndUnfavorable,conflict,liberalFriend,liberal,NA,biracialLivingExperience,favorable,NA,someHighSchool,NA,NA,NA
favorable,NA,favorableAndUnfavorable,NA,liberalFriend,liberal,fair,NA,NA,poor,NA,NA,NA,semiSkilled
favorable,NA,favorableAndUnfavorable,conflict,NA,NA,NA,biracialLivingExperience,favorable,NA,highSchoolGraduate,NA,NA,NA
favorable,NA,favorable,integration,NA,NA,poor,biracialLivingExperience,NA,hardToSay,highSchoolGraduate,NA,NA,unskilledDomesticPersonalService
favorable,NA,favorable,NA,NA,NA,good,NA,NA,poor,someHighSchool,NA,NA,whiteColorSkilled
favorable,asLongAsEligible,favorableAndUnfavorable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,asLongAsEligible,favorable,NA,NA,NA,hardToSay,NA,favorable,hardToSay,NA,NA,NA,unskilledDomesticPersonalService
favorable,NA,favorable,integration,liberalFriend,liberal,poor,biracialLivingExperience,NA,poor,NA,NA,NA,unskilledDomesticPersonalService
favorable,permanent,NA,NA,liberalFriend,liberal,poor,NA,favorable,poor,NA,NA,NA,unskilledDomesticPersonalService
favorable,NA,NA,mutualAcomodataion,NA,NA,poor,biracialLivingExperience,NA,poor,highSchoolGraduate,NA,NA,unskilledDomesticPersonalService
favorable,asLongAsEligible,favorable,mutualAcomodataion,liberalFriend,ambivalent,NA,noBiracialLivingExperience,NA,NA,NA,NA,NA,NA
favorable,NA,NA,mutualAcomodataion,ambivalentFriend,liberal,poor,biracialLivingExperience,favorable,poor,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
favorable,asLongAsEligible,favorableAndUnfavorable,NA,liberalFriend,liberal,poor,NA,favorable,poor,someHighSchool,NA,NA,unskilledDomesticPersonalService
favorable,NA,favorableAndUnfavorable,conflict,NA,NA,NA,noBiracialLivingExperience,favorable,NA,gradeSchoolOrLess,NA,NA,NA
favorable,permanent,favorableAndUnfavorable,NA,ambivalentFriend,ambivalent,NA,NA,unfavorable,NA,NA,NA,NA,NA
NA,NA,noComments,conflict,liberalFriend,liberal,NA,noBiracialLivingExperience,NA,NA,NA,NA,unfavorable,NA
favorable,NA,NA,mutualAcomodataion,NA,NA,fair,biracialLivingExperience,NA,good,NA,NA,NA,unskilledDomesticPersonalService
favorable,asLongAsEligible,favorableAndUnfavorable,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,NA,NA,highSchoolGraduate,NA,NA,NA
favorable,neverThoughtAboutIt,NA,NA,NA,NA,poor,NA,favorable,good,gradeSchoolOrLess,favorable,NA,semiSkilled
NA,NA,favorable,conflict,NA,NA,NA,biracialLivingExperience,favorable,NA,NA,NA,NA,NA
NA,permanent,favorable,NA,NA,NA,NA,NA,favorable,NA,highSchoolGraduate,NA,NA,NA
favorable,NA,favorable,NA,NA,NA,poor,NA,favorable,hardToSay,NA,NA,NA,unskilledDomesticPersonalService
favorable,untilBetterPlace,favorable,NA,liberalFriend,liberal,hardToSay,NA,favorable,fair,someHighSchool,NA,NA,unskilledDomesticPersonalService
favorable,NA,NA,NA,NA,NA,fair,NA,NA,good,NA,NA,NA,unskilledDomesticPersonalService
NA,asLongAsEligible,favorableAndUnfavorable,conflict,NA,NA,NA,noBiracialLivingExperience,favorable,NA,NA,NA,NA,NA
