id,evaluationOfHilltown,transiency,impressionOfFriends,expectations,attitudeOfFriend,attitude,satisfactionInWorkplace,pastExperience,evaluationOfPhysicalAmenities,satisfactionInField,education,evaluationOfCoResidents,evaluationOfManagement,occupation
16,favorable,neverThoughtAboutIt,unfavorable,mutualAcomodataion,ambivalentFriend,liberal,good,biracialLivingExperience,NA,good,someHighSchool,NA,NA,unskilledDomesticPersonalService
17,favorable,NA,favorable,NA,liberalFriend,liberal,NA,NA,NA,NA,highSchoolGraduate,NA,NA,NA
18,favorable,permanent,NA,NA,liberalFriend,liberal,fair,NA,NA,good,someHighSchool,NA,NA,whiteColorSkilled
19,favorable,asLongAsEligible,favorable,NA,NA,NA,good,NA,favorable,fair,someHighSchool,NA,NA,whiteColorSkilled
20,favorable,NA,NA,NA,NA,NA,NA,NA,favorable,NA,gradeSchoolOrLess,favorable,NA,NA
21,unfavorable,neverThoughtAboutIt,noComments,NA,NA,NA,NA,NA,NA,NA,highSchoolGraduate,favorable,NA,NA
22,favorable,NA,NA,mutualAcomodataion,liberalFriend,ambivalent,poor,biracialLivingExperience,favorable,good,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
23,favorable,asLongAsEligible,NA,NA,liberalFriend,liberal,NA,NA,favorable,NA,gradeSchoolOrLess,NA,NA,NA
24,favorable,permanent,favorable,NA,liberalFriend,liberal,NA,NA,favorable,NA,highSchoolGraduate,NA,NA,NA
25,unfavorable,untilBetterPlace,favorable,NA,liberalFriend,ambivalent,hardToSay,NA,NA,fair,gradeSchoolOrLess,unfavorable,NA,whiteColorSkilled
26,favorable,permanent,favorable,NA,liberalFriend,ambivalent,poor,NA,favorable,poor,NA,NA,NA,unskilledDomesticPersonalService
27,favorable,neverThoughtAboutIt,favorable,conflict,liberalFriend,liberal,NA,biracialLivingExperience,favorable,NA,highSchoolGraduate,NA,NA,NA
28,favorable,asLongAsEligible,NA,NA,liberalFriend,liberal,fair,NA,favorable,fair,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
29,favorable,untilBetterPlace,favorable,conflict,NA,NA,poor,biracialLivingExperience,favorable,hardToSay,NA,NA,NA,unskilledDomesticPersonalService
30,NA,asLongAsEligible,favorable,NA,NA,NA,poor,NA,favorable,poor,NA,NA,favorable,semiSkilled
31,favorable,asLongAsEligible,favorable,NA,NA,NA,poor,NA,NA,good,gradeSchoolOrLess,NA,unfavorable,semiSkilled
32,favorable,untilBetterPlace,favorable,NA,liberalFriend,liberal,NA,NA,favorable,NA,gradeSchoolOrLess,NA,favorable,NA
33,favorable,NA,favorable,NA,NA,NA,fair,NA,unfavorable,poor,NA,NA,NA,unskilledDomesticPersonalService
34,favorable,NA,NA,conflict,liberalFriend,liberal,good,biracialLivingExperience,favorable,good,highSchoolGraduate,NA,NA,unskilledDomesticPersonalService
35,NA,asLongAsEligible,favorable,NA,NA,NA,poor,NA,NA,poor,gradeSchoolOrLess,NA,favorable,unskilledDomesticPersonalService
36,favorable,permanent,favorable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,NA,NA,unfavorable,NA,liberalFriend,liberal,fair,NA,NA,poor,NA,NA,NA,unskilledDomesticPersonalService
38,favorable,permanent,favorable,mutualAcomodataion,liberalFriend,ambivalent,hardToSay,noBiracialLivingExperience,NA,poor,NA,NA,NA,unskilledDomesticPersonalService
39,NA,NA,favorable,NA,NA,NA,good,NA,favorable,hardToSay,gradeSchoolOrLess,NA,NA,whiteColorSkilled
40,NA,NA,NA,NA,NA,NA,poor,NA,favorable,good,NA,NA,NA,semiSkilled
41,favorable,untilOwnHome,favorable,mutualAcomodataion,liberalFriend,ambivalent,NA,biracialLivingExperience,favorable,NA,someHighSchool,NA,NA,NA
42,favorable,NA,favorableAndUnfavorable,NA,NA,NA,poor,NA,NA,poor,highSchoolGraduate,favorable,NA,unskilledDomesticPersonalService
43,favorable,asLongAsEligible,favorable,NA,liberalFriend,liberal,NA,NA,favorable,NA,NA,favorable,NA,NA
44,favorable,asLongAsEligible,favorable,NA,liberalFriend,liberal,NA,NA,NA,NA,gradeSchoolOrLess,NA,NA,NA
45,favorable,neverThoughtAboutIt,NA,mutualAcomodataion,liberalFriend,ambivalent,poor,biracialLivingExperience,favorable,poor,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
46,favorable,NA,favorable,mutualAcomodataion,NA,NA,fair,biracialLivingExperience,unfavorable,poor,NA,NA,NA,unskilledDomesticPersonalService
47,favorable,untilBetterPlace,NA,NA,liberalFriend,liberal,poor,NA,NA,fair,NA,NA,NA,semiSkilled
48,NA,NA,NA,NA,liberalFriend,liberal,NA,NA,favorable,NA,gradeSchoolOrLess,NA,NA,NA
49,favorable,NA,favorableAndUnfavorable,NA,ambivalentFriend,liberal,NA,NA,NA,NA,NA,favorable,NA,NA
50,favorable,NA,favorableAndUnfavorable,NA,liberalFriend,liberal,hardToSay,NA,favorable,hardToSay,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
51,NA,NA,favorableAndUnfavorable,mutualAcomodataion,liberalFriend,liberal,poor,biracialLivingExperience,favorable,hardToSay,NA,NA,NA,semiSkilled
52,favorable,NA,favorableAndUnfavorable,integration,liberalFriend,ambivalent,NA,biracialLivingExperience,favorable,NA,NA,NA,NA,NA
53,favorable,untilBetterPlace,favorable,NA,NA,NA,hardToSay,NA,favorable,good,NA,NA,NA,semiSkilled
54,favorable,asLongAsEligible,favorableAndUnfavorable,conflict,NA,NA,NA,biracialLivingExperience,favorable,NA,gradeSchoolOrLess,NA,NA,NA
55,NA,asLongAsEligible,favorableAndUnfavorable,NA,NA,NA,poor,NA,NA,poor,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
56,NA,untilBetterPlace,favorable,NA,liberalFriend,liberal,NA,NA,NA,NA,someHighSchool,NA,NA,NA
57,favorable,asLongAsEligible,unfavorable,NA,ambivalentFriend,liberal,NA,NA,favorable,NA,NA,NA,NA,NA
58,unfavorable,NA,NA,conflict,NA,NA,NA,biracialLivingExperience,favorable,NA,NA,NA,NA,NA
59,favorable,NA,noComments,mutualAcomodataion,NA,NA,hardToSay,biracialLivingExperience,favorable,poor,gradeSchoolOrLess,favorable,NA,unskilledDomesticPersonalService
60,favorable,untilOwnHome,NA,NA,NA,NA,NA,NA,NA,NA,someHighSchool,NA,NA,NA
61,favorable,NA,favorable,NA,NA,NA,hardToSay,NA,NA,poor,NA,NA,NA,whiteColorSkilled
62,NA,permanent,favorable,NA,liberalFriend,liberal,fair,NA,NA,fair,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
63,NA,NA,favorableAndUnfavorable,NA,ambivalentFriend,liberal,poor,NA,favorable,poor,someHighSchool,favorable,NA,unskilledDomesticPersonalService
64,NA,NA,favorable,NA,liberalFriend,ambivalent,good,NA,favorable,good,NA,NA,NA,whiteColorSkilled
65,favorable,asLongAsEligible,NA,mutualAcomodataion,liberalFriend,liberal,poor,biracialLivingExperience,NA,poor,NA,favorable,NA,unskilledDomesticPersonalService
66,favorable,asLongAsEligible,favorable,conflict,liberalFriend,liberal,NA,noBiracialLivingExperience,favorable,NA,NA,NA,NA,NA
67,NA,asLongAsEligible,NA,NA,NA,NA,poor,NA,favorable,fair,NA,NA,NA,unskilledDomesticPersonalService
68,NA,asLongAsEligible,NA,NA,NA,NA,fair,NA,favorable,hardToSay,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
69,favorable,asLongAsEligible,favorableAndUnfavorable,conflict,liberalFriend,liberal,NA,biracialLivingExperience,favorable,NA,gradeSchoolOrLess,NA,NA,NA
70,favorable,untilOwnHome,favorableAndUnfavorable,NA,NA,NA,fair,NA,NA,good,NA,NA,NA,semiSkilled
71,favorable,asLongAsEligible,favorableAndUnfavorable,NA,NA,NA,hardToSay,NA,favorable,poor,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
72,favorable,NA,NA,NA,liberalFriend,liberal,NA,NA,favorable,NA,NA,NA,NA,NA
73,favorable,NA,favorable,NA,NA,NA,NA,NA,favorable,NA,NA,NA,NA,NA
74,favorable,NA,NA,NA,liberalFriend,liberal,NA,NA,NA,NA,NA,favorable,NA,NA
75,NA,permanent,favorable,NA,liberalFriend,liberal,NA,NA,favorable,NA,NA,NA,NA,NA
76,favorable,untilBetterPlace,unfavorable,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,NA,NA,NA,NA,NA,NA
77,favorable,asLongAsEligible,favorable,NA,NA,NA,poor,NA,NA,hardToSay,someHighSchool,NA,NA,semiSkilled
78,favorable,NA,favorable,NA,liberalFriend,liberal,fair,NA,NA,poor,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
79,favorable,NA,favorable,conflict,NA,NA,hardToSay,noBiracialLivingExperience,favorable,good,someHighSchool,NA,NA,whiteColorSkilled
80,favorable,untilBetterPlace,favorable,NA,liberalFriend,liberal,NA,NA,favorable,NA,gradeSchoolOrLess,favorable,NA,NA
81,favorable,asLongAsEligible,favorable,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,favorable,NA,NA,NA,NA,NA
82,favorable,untilOwnHome,unfavorable,NA,NA,NA,poor,NA,NA,poor,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
83,unfavorable,neverThoughtAboutIt,favorableAndUnfavorable,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,NA,NA,highSchoolGraduate,favorable,NA,NA
84,favorable,neverThoughtAboutIt,favorable,NA,liberalFriend,liberal,good,NA,favorable,poor,NA,NA,NA,unskilledDomesticPersonalService
85,NA,NA,NA,NA,NA,NA,NA,NA,favorable,NA,NA,NA,NA,NA
86,NA,permanent,NA,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,NA,NA,NA,NA,NA,NA
87,favorable,permanent,NA,mutualAcomodataion,NA,NA,poor,biracialLivingExperience,NA,good,gradeSchoolOrLess,NA,NA,semiSkilled
88,unfavorable,untilOwnHome,NA,conflict,NA,NA,poor,biracialLivingExperience,favorable,poor,gradeSchoolOrLess,favorable,NA,unskilledDomesticPersonalService
89,favorable,NA,NA,NA,NA,NA,NA,NA,favorable,NA,NA,NA,NA,NA
90,favorable,NA,favorable,integration,liberalFriend,liberal,poor,biracialLivingExperience,favorable,poor,someHighSchool,NA,NA,unskilledDomesticPersonalService
91,favorable,asLongAsEligible,NA,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,favorable,NA,someHighSchool,favorable,NA,NA
92,favorable,asLongAsEligible,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,NA,asLongAsEligible,NA,conflict,NA,NA,poor,noBiracialLivingExperience,NA,poor,NA,NA,NA,semiSkilled
94,favorable,NA,favorable,NA,liberalFriend,liberal,NA,NA,favorable,NA,NA,favorable,NA,NA
95,favorable,untilBetterPlace,favorable,NA,NA,NA,NA,NA,favorable,NA,gradeSchoolOrLess,favorable,NA,NA
96,favorable,NA,favorable,NA,ambivalentFriend,liberal,poor,NA,favorable,hardToSay,NA,NA,NA,semiSkilled
97,favorable,asLongAsEligible,NA,mutualAcomodataion,NA,NA,hardToSay,noBiracialLivingExperience,favorable,good,someHighSchool,NA,NA,whiteColorSkilled
98,unfavorable,permanent,unfavorable,NA,NA,NA,NA,NA,favorable,NA,NA,NA,NA,NA
99,favorable,asLongAsEligible,NA,NA,liberalFriend,liberal,fair,NA,favorable,fair,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
100,favorable,NA,NA,NA,liberalFriend,liberal,poor,NA,favorable,poor,highSchoolGraduate,unfavorable,favorable,unskilledDomesticPersonalService
101,favorable,NA,NA,NA,NA,NA,hardToSay,NA,favorable,poor,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
102,favorable,asLongAsEligible,favorable,NA,NA,NA,poor,NA,favorable,good,someHighSchool,NA,NA,unskilledDomesticPersonalService
103,favorable,asLongAsEligible,favorableAndUnfavorable,integration,NA,NA,NA,biracialLivingExperience,NA,NA,gradeSchoolOrLess,NA,NA,NA
104,favorable,NA,favorableAndUnfavorable,NA,liberalFriend,liberal,NA,NA,NA,NA,gradeSchoolOrLess,NA,NA,NA
105,favorable,asLongAsEligible,unfavorable,NA,liberalFriend,liberal,hardToSay,NA,NA,good,someHighSchool,NA,NA,unskilledDomesticPersonalService
106,NA,permanent,favorable,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,favorable,NA,NA,NA,NA,NA
107,favorable,neverThoughtAboutIt,NA,mutualAcomodataion,NA,NA,fair,biracialLivingExperience,NA,poor,someHighSchool,favorable,NA,unskilledDomesticPersonalService
108,favorable,permanent,favorableAndUnfavorable,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,favorable,NA,NA,NA,NA,NA
109,favorable,asLongAsEligible,NA,mutualAcomodataion,NA,NA,good,biracialLivingExperience,NA,hardToSay,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
110,unfavorable,asLongAsEligible,favorable,NA,ambivalentFriend,liberal,NA,NA,NA,NA,NA,NA,NA,NA
111,favorable,asLongAsEligible,favorable,conflict,liberalFriend,liberal,poor,biracialLivingExperience,NA,good,NA,NA,NA,unskilledDomesticPersonalService
112,favorable,untilBetterPlace,favorable,NA,liberalFriend,liberal,NA,NA,favorable,NA,someHighSchool,NA,NA,NA
113,NA,neverThoughtAboutIt,favorable,NA,liberalFriend,liberal,hardToSay,NA,favorable,good,someHighSchool,NA,NA,unskilledDomesticPersonalService
114,favorable,NA,favorable,integration,liberalFriend,liberal,NA,biracialLivingExperience,favorable,NA,NA,NA,NA,NA
115,favorable,asLongAsEligible,favorableAndUnfavorable,mutualAcomodataion,ambivalentFriend,liberal,NA,biracialLivingExperience,NA,NA,highSchoolGraduate,NA,NA,NA
116,favorable,neverThoughtAboutIt,unfavorable,NA,NA,NA,good,NA,favorable,poor,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
117,favorable,NA,unfavorable,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,favorable,NA,highSchoolGraduate,favorable,NA,NA
118,favorable,permanent,NA,conflict,liberalFriend,liberal,poor,noBiracialLivingExperience,favorable,poor,gradeSchoolOrLess,NA,favorable,unskilledDomesticPersonalService
119,favorable,untilBetterPlace,favorableAndUnfavorable,NA,NA,NA,NA,NA,NA,NA,highSchoolGraduate,NA,NA,NA
120,unfavorable,untilOwnHome,favorable,mutualAcomodataion,NA,NA,hardToSay,biracialLivingExperience,NA,good,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
121,favorable,asLongAsEligible,favorableAndUnfavorable,mutualAcomodataion,NA,NA,poor,biracialLivingExperience,favorable,fair,NA,NA,NA,semiSkilled
122,favorable,neverThoughtAboutIt,NA,mutualAcomodataion,NA,NA,poor,biracialLivingExperience,NA,poor,NA,NA,NA,unskilledDomesticPersonalService
123,favorable,NA,favorableAndUnfavorable,mutualAcomodataion,liberalFriend,ambivalent,good,biracialLivingExperience,NA,hardToSay,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
124,favorable,neverThoughtAboutIt,NA,NA,liberalFriend,liberal,poor,NA,NA,fair,gradeSchoolOrLess,NA,NA,whiteColorSkilled
125,favorable,untilBetterPlace,favorable,NA,NA,NA,hardToSay,NA,favorable,poor,gradeSchoolOrLess,favorable,NA,unskilledDomesticPersonalService
126,favorable,NA,favorable,mutualAcomodataion,liberalFriend,liberal,poor,biracialLivingExperience,unfavorable,hardToSay,gradeSchoolOrLess,NA,NA,semiSkilled
127,favorable,NA,favorable,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,favorable,NA,NA,NA,NA,NA
128,favorable,NA,favorable,conflict,NA,NA,poor,biracialLivingExperience,favorable,good,gradeSchoolOrLess,NA,NA,whiteColorSkilled
129,favorable,untilBetterPlace,unfavorable,mutualAcomodataion,NA,NA,poor,biracialLivingExperience,NA,good,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
130,NA,asLongAsEligible,favorableAndUnfavorable,NA,NA,NA,good,NA,favorable,good,NA,NA,NA,unskilledDomesticPersonalService
131,favorable,neverThoughtAboutIt,favorable,NA,NA,NA,poor,NA,NA,poor,highSchoolGraduate,NA,favorable,unskilledDomesticPersonalService
132,favorable,permanent,favorable,NA,NA,NA,fair,NA,favorable,hardToSay,NA,NA,NA,unskilledDomesticPersonalService
133,favorable,asLongAsEligible,favorable,NA,liberalFriend,liberal,fair,NA,favorable,poor,NA,NA,NA,unskilledDomesticPersonalService
134,favorable,asLongAsEligible,NA,integration,liberalFriend,liberal,NA,biracialLivingExperience,NA,NA,NA,NA,NA,NA
135,favorable,untilBetterPlace,favorable,mutualAcomodataion,NA,NA,poor,biracialLivingExperience,favorable,fair,NA,NA,NA,unskilledDomesticPersonalService
136,NA,permanent,favorable,NA,NA,NA,poor,NA,NA,poor,NA,NA,NA,semiSkilled
137,NA,neverThoughtAboutIt,favorable,integration,liberalFriend,liberal,NA,biracialLivingExperience,NA,NA,gradeSchoolOrLess,NA,favorable,NA
138,favorable,NA,NA,NA,liberalFriend,liberal,NA,NA,NA,NA,highSchoolGraduate,NA,NA,NA
139,favorable,permanent,favorable,conflict,ambivalentFriend,ambivalent,good,biracialLivingExperience,NA,poor,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
140,favorable,permanent,unfavorable,NA,liberalFriend,liberal,poor,NA,unfavorable,hardToSay,NA,NA,NA,semiSkilled
141,NA,NA,favorable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,favorable,asLongAsEligible,favorable,NA,liberalFriend,liberal,NA,NA,NA,NA,NA,NA,NA,NA
143,favorable,asLongAsEligible,favorableAndUnfavorable,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,favorable,NA,highSchoolGraduate,favorable,NA,NA
144,favorable,untilOwnHome,NA,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,favorable,NA,someHighSchool,NA,NA,NA
145,favorable,asLongAsEligible,noComments,NA,ambivalentFriend,liberal,poor,NA,NA,hardToSay,someHighSchool,favorable,NA,unskilledDomesticPersonalService
146,favorable,asLongAsEligible,NA,NA,NA,NA,poor,NA,favorable,good,highSchoolGraduate,NA,NA,unskilledDomesticPersonalService
147,favorable,neverThoughtAboutIt,NA,mutualAcomodataion,NA,NA,good,biracialLivingExperience,NA,poor,NA,NA,NA,unskilledDomesticPersonalService
148,favorable,NA,unfavorable,conflict,NA,NA,hardToSay,biracialLivingExperience,favorable,poor,NA,NA,NA,unskilledDomesticPersonalService
149,favorable,asLongAsEligible,NA,mutualAcomodataion,liberalFriend,liberal,fair,biracialLivingExperience,NA,good,highSchoolGraduate,favorable,NA,semiSkilled
150,favorable,NA,unfavorable,conflict,liberalFriend,liberal,NA,biracialLivingExperience,favorable,NA,NA,favorable,NA,NA
151,favorable,NA,favorable,NA,liberalFriend,liberal,good,NA,favorable,good,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
152,favorable,NA,unfavorable,NA,NA,NA,NA,NA,favorable,NA,NA,NA,NA,NA
153,favorable,NA,favorable,NA,liberalFriend,liberal,NA,NA,NA,NA,gradeSchoolOrLess,favorable,NA,NA
154,favorable,asLongAsEligible,favorable,mutualAcomodataion,liberalFriend,liberal,fair,biracialLivingExperience,NA,poor,gradeSchoolOrLess,NA,NA,semiSkilled
155,favorable,NA,NA,conflict,liberalFriend,liberal,poor,biracialLivingExperience,favorable,poor,NA,NA,NA,unskilledDomesticPersonalService
156,favorable,asLongAsEligible,favorableAndUnfavorable,NA,NA,NA,poor,NA,favorable,poor,highSchoolGraduate,NA,NA,unskilledDomesticPersonalService
157,unfavorable,asLongAsEligible,favorable,NA,NA,NA,good,NA,favorable,good,gradeSchoolOrLess,NA,favorable,whiteColorSkilled
158,favorable,permanent,favorableAndUnfavorable,NA,ambivalentFriend,liberal,poor,NA,favorable,poor,someHighSchool,NA,NA,unskilledDomesticPersonalService
159,favorable,asLongAsEligible,favorable,NA,liberalFriend,liberal,poor,NA,favorable,good,someHighSchool,NA,NA,whiteColorSkilled
160,favorable,untilBetterPlace,favorableAndUnfavorable,mutualAcomodataion,NA,NA,poor,biracialLivingExperience,favorable,good,NA,NA,NA,unskilledDomesticPersonalService
161,favorable,permanent,favorableAndUnfavorable,NA,liberalFriend,liberal,NA,NA,favorable,NA,highSchoolGraduate,NA,NA,NA
162,unfavorable,asLongAsEligible,favorableAndUnfavorable,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,NA,NA,highSchoolGraduate,NA,NA,NA
163,favorable,NA,noComments,NA,NA,NA,poor,NA,NA,good,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
164,favorable,asLongAsEligible,favorable,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,favorable,NA,NA,NA,NA,NA
165,favorable,neverThoughtAboutIt,favorable,NA,NA,NA,NA,NA,favorable,NA,someHighSchool,NA,NA,NA
166,favorable,untilOwnHome,NA,NA,NA,NA,NA,NA,favorable,NA,gradeSchoolOrLess,NA,NA,NA
167,favorable,permanent,NA,NA,liberalFriend,liberal,NA,NA,favorable,NA,NA,NA,NA,NA
168,favorable,neverThoughtAboutIt,favorableAndUnfavorable,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,NA,NA,NA,favorable,NA,NA
169,favorable,asLongAsEligible,favorable,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,favorable,NA,highSchoolGraduate,NA,NA,NA
170,unfavorable,neverThoughtAboutIt,favorable,NA,NA,NA,poor,NA,NA,poor,NA,NA,NA,unskilledDomesticPersonalService
171,favorable,NA,NA,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,favorable,NA,NA,NA,NA,NA
172,NA,NA,favorable,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,favorable,NA,someHighSchool,NA,favorable,NA
173,favorable,neverThoughtAboutIt,favorableAndUnfavorable,NA,NA,NA,NA,NA,favorable,NA,gradeSchoolOrLess,NA,NA,NA
174,favorable,asLongAsEligible,favorable,NA,ambivalentFriend,liberal,fair,NA,favorable,poor,someHighSchool,NA,NA,semiSkilled
175,favorable,asLongAsEligible,favorableAndUnfavorable,conflict,NA,NA,poor,biracialLivingExperience,favorable,poor,NA,NA,NA,semiSkilled
176,favorable,neverThoughtAboutIt,unfavorable,NA,ambivalentFriend,liberal,poor,NA,NA,hardToSay,NA,NA,unfavorable,unskilledDomesticPersonalService
177,favorable,asLongAsEligible,NA,NA,liberalFriend,liberal,poor,NA,NA,fair,someHighSchool,NA,NA,unskilledDomesticPersonalService
178,favorable,NA,NA,NA,liberalFriend,liberal,fair,NA,favorable,good,NA,NA,NA,semiSkilled
179,favorable,asLongAsEligible,favorable,mutualAcomodataion,NA,NA,poor,biracialLivingExperience,favorable,fair,someHighSchool,NA,NA,semiSkilled
180,favorable,asLongAsEligible,favorableAndUnfavorable,mutualAcomodataion,liberalFriend,liberal,hardToSay,biracialLivingExperience,favorable,hardToSay,gradeSchoolOrLess,favorable,NA,semiSkilled
181,favorable,NA,NA,NA,liberalFriend,liberal,NA,NA,favorable,NA,gradeSchoolOrLess,NA,NA,NA
182,favorable,untilBetterPlace,NA,integration,NA,NA,hardToSay,biracialLivingExperience,favorable,hardToSay,someHighSchool,NA,NA,unskilledDomesticPersonalService
183,favorable,asLongAsEligible,NA,NA,liberalFriend,liberal,poor,NA,favorable,poor,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
184,favorable,NA,favorable,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,NA,NA,someHighSchool,favorable,NA,NA
185,favorable,NA,unfavorable,NA,NA,NA,NA,NA,favorable,NA,NA,NA,NA,NA
186,favorable,asLongAsEligible,NA,NA,liberalFriend,liberal,poor,NA,favorable,hardToSay,gradeSchoolOrLess,favorable,NA,unskilledDomesticPersonalService
187,favorable,NA,favorable,NA,liberalFriend,liberal,poor,NA,NA,poor,NA,NA,NA,unskilledDomesticPersonalService
188,favorable,neverThoughtAboutIt,NA,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,favorable,NA,someHighSchool,NA,NA,NA
189,NA,neverThoughtAboutIt,favorableAndUnfavorable,mutualAcomodataion,liberalFriend,liberal,poor,biracialLivingExperience,NA,fair,NA,NA,NA,unskilledDomesticPersonalService
190,favorable,asLongAsEligible,favorable,NA,liberalFriend,liberal,NA,NA,favorable,NA,NA,NA,NA,NA
191,NA,NA,favorable,conflict,NA,NA,poor,biracialLivingExperience,favorable,good,highSchoolGraduate,NA,NA,whiteColorSkilled
192,favorable,asLongAsEligible,NA,NA,NA,NA,hardToSay,NA,favorable,good,NA,favorable,NA,whiteColorSkilled
193,favorable,asLongAsEligible,NA,NA,NA,NA,good,NA,NA,poor,gradeSchoolOrLess,NA,favorable,whiteColorSkilled
194,favorable,asLongAsEligible,NA,NA,NA,NA,poor,NA,favorable,poor,highSchoolGraduate,NA,NA,unskilledDomesticPersonalService
195,NA,asLongAsEligible,NA,mutualAcomodataion,liberalFriend,liberal,good,biracialLivingExperience,NA,poor,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
196,favorable,permanent,NA,NA,NA,NA,good,NA,favorable,hardToSay,NA,NA,NA,unskilledDomesticPersonalService
197,favorable,permanent,favorable,NA,liberalFriend,liberal,NA,NA,favorable,NA,NA,NA,NA,NA
198,unfavorable,asLongAsEligible,favorable,NA,NA,NA,NA,NA,favorable,NA,NA,NA,NA,NA
