id,evaluationOfHilltown,transiency,impressionOfFriends,expectations,attitudeOfFriend,attitude,satisfactionInWorkplace,pastExperience,evaluationOfPhysicalAmenities,satisfactionInField,education,evaluationOfCoResidents,evaluationOfManagement,occupation
42,NA,untilOwnHome,favorable,mutualAcomodataion,ambivalentFriend,liberal,NA,biracialLivingExperience,favorable,NA,highSchoolGraduate,NA,favorable,NA
43,unfavorable,untilOwnHome,favorable,mutualAcomodataion,NA,NA,fair,biracialLivingExperience,favorable,hardToSay,NA,NA,NA,whiteColorSkilled
44,favorable,asLongAsEligible,NA,NA,NA,NA,poor,NA,favorable,hardToSay,highSchoolGraduate,NA,unfavorable,unskilledDomesticPersonalService
45,favorable,permanent,unfavorable,NA,liberalFriend,liberal,poor,NA,favorable,good,NA,NA,NA,unskilledDomesticPersonalService
46,favorable,neverThoughtAboutIt,NA,NA,liberalFriend,liberal,NA,NA,favorable,NA,NA,NA,NA,NA
47,favorable,asLongAsEligible,favorable,mutualAcomodataion,NA,NA,NA,noBiracialLivingExperience,favorable,NA,NA,NA,NA,NA
48,unfavorable,NA,NA,integration,liberalFriend,liberal,NA,biracialLivingExperience,favorable,NA,someHighSchool,NA,NA,NA
49,favorable,asLongAsEligible,noComments,NA,liberalFriend,liberal,poor,NA,NA,fair,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
50,favorable,untilBetterPlace,favorable,NA,liberalFriend,liberal,NA,NA,NA,NA,someHighSchool,NA,NA,NA
51,favorable,asLongAsEligible,NA,mutualAcomodataion,liberalFriend,liberal,poor,biracialLivingExperience,NA,fair,someHighSchool,NA,favorable,unskilledDomesticPersonalService
52,favorable,asLongAsEligible,favorable,NA,NA,NA,poor,NA,NA,fair,NA,NA,NA,unskilledDomesticPersonalService
53,favorable,neverThoughtAboutIt,NA,NA,liberalFriend,liberal,good,NA,favorable,poor,NA,NA,NA,unskilledDomesticPersonalService
54,favorable,NA,unfavorable,NA,liberalFriend,ambivalent,hardToSay,NA,favorable,good,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
55,favorable,asLongAsEligible,NA,NA,liberalFriend,liberal,NA,NA,favorable,NA,gradeSchoolOrLess,NA,NA,NA
56,favorable,asLongAsEligible,favorable,NA,liberalFriend,ambivalent,fair,NA,favorable,poor,NA,NA,NA,semiSkilled
57,favorable,untilBetterPlace,NA,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,favorable,NA,gradeSchoolOrLess,NA,NA,NA
58,NA,neverThoughtAboutIt,favorable,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,NA,NA,gradeSchoolOrLess,NA,favorable,NA
59,favorable,NA,favorable,NA,liberalFriend,liberal,hardToSay,NA,favorable,poor,someHighSchool,unfavorable,NA,unskilledDomesticPersonalService
60,favorable,NA,favorableAndUnfavorable,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,NA,NA,NA,NA,NA,NA
61,favorable,permanent,favorable,NA,NA,NA,NA,NA,NA,NA,someHighSchool,NA,NA,NA
62,favorable,untilBetterPlace,noComments,conflict,NA,NA,poor,biracialLivingExperience,favorable,poor,someHighSchool,NA,NA,unskilledDomesticPersonalService
63,favorable,permanent,favorable,NA,liberalFriend,liberal,good,NA,favorable,poor,gradeSchoolOrLess,favorable,NA,unskilledDomesticPersonalService
64,favorable,asLongAsEligible,favorableAndUnfavorable,NA,NA,NA,NA,NA,NA,NA,someHighSchool,NA,NA,NA
65,favorable,NA,NA,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,favorable,NA,gradeSchoolOrLess,unfavorable,NA,NA
66,favorable,permanent,favorableAndUnfavorable,mutualAcomodataion,liberalFriend,ambivalent,poor,biracialLivingExperience,NA,fair,NA,favorable,NA,semiSkilled
67,NA,asLongAsEligible,favorable,NA,ambivalentFriend,liberal,good,NA,favorable,poor,gradeSchoolOrLess,favorable,NA,unskilledDomesticPersonalService
68,NA,asLongAsEligible,favorable,conflict,liberalFriend,liberal,good,biracialLivingExperience,favorable,good,someHighSchool,NA,NA,unskilledDomesticPersonalService
69,NA,permanent,favorable,NA,ambivalentFriend,liberal,hardToSay,NA,favorable,poor,someHighSchool,NA,NA,semiSkilled
70,favorable,asLongAsEligible,NA,NA,liberalFriend,ambivalent,poor,NA,favorable,good,NA,NA,NA,semiSkilled
71,favorable,NA,unfavorable,NA,NA,NA,poor,NA,favorable,hardToSay,NA,NA,NA,unskilledDomesticPersonalService
72,favorable,NA,favorable,NA,NA,NA,poor,NA,NA,hardToSay,NA,NA,NA,unskilledDomesticPersonalService
73,favorable,NA,noComments,NA,liberalFriend,liberal,poor,NA,NA,fair,NA,NA,NA,unskilledDomesticPersonalService
74,favorable,permanent,NA,mutualAcomodataion,liberalFriend,liberal,fair,biracialLivingExperience,favorable,good,gradeSchoolOrLess,NA,favorable,semiSkilled
75,favorable,asLongAsEligible,favorable,conflict,liberalFriend,liberal,hardToSay,biracialLivingExperience,NA,poor,NA,NA,NA,semiSkilled
76,NA,asLongAsEligible,favorable,NA,liberalFriend,liberal,NA,NA,NA,NA,highSchoolGraduate,NA,NA,NA
77,favorable,untilOwnHome,NA,NA,NA,NA,NA,NA,favorable,NA,gradeSchoolOrLess,favorable,NA,NA
78,favorable,asLongAsEligible,favorableAndUnfavorable,mutualAcomodataion,NA,NA,fair,biracialLivingExperience,favorable,poor,NA,NA,NA,unskilledDomesticPersonalService
79,favorable,NA,unfavorable,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,NA,NA,NA,favorable,NA,NA
80,favorable,untilOwnHome,favorable,NA,liberalFriend,liberal,good,NA,NA,fair,gradeSchoolOrLess,NA,NA,whiteColorSkilled
81,favorable,NA,NA,NA,liberalFriend,liberal,NA,NA,NA,NA,gradeSchoolOrLess,NA,NA,NA
82,favorable,NA,favorableAndUnfavorable,conflict,liberalFriend,liberal,poor,biracialLivingExperience,NA,poor,someHighSchool,unfavorable,NA,unskilledDomesticPersonalService
83,favorable,permanent,favorable,NA,NA,NA,NA,NA,favorable,NA,someHighSchool,favorable,NA,NA
84,favorable,NA,favorable,NA,NA,NA,NA,NA,favorable,NA,highSchoolGraduate,NA,favorable,NA
85,favorable,asLongAsEligible,unfavorable,mutualAcomodataion,liberalFriend,liberal,hardToSay,biracialLivingExperience,NA,poor,gradeSchoolOrLess,NA,NA,semiSkilled
86,favorable,NA,NA,NA,liberalFriend,liberal,good,NA,favorable,poor,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
87,favorable,asLongAsEligible,NA,mutualAcomodataion,liberalFriend,liberal,good,noBiracialLivingExperience,favorable,poor,NA,NA,NA,whiteColorSkilled
88,favorable,asLongAsEligible,favorable,NA,NA,NA,good,NA,NA,poor,someHighSchool,NA,NA,unskilledDomesticPersonalService
89,favorable,permanent,favorable,conflict,NA,NA,NA,biracialLivingExperience,NA,NA,someHighSchool,NA,NA,NA
90,favorable,neverThoughtAboutIt,favorable,NA,NA,NA,NA,NA,favorable,NA,gradeSchoolOrLess,NA,NA,NA
91,favorable,permanent,NA,integration,NA,NA,NA,biracialLivingExperience,NA,NA,someHighSchool,NA,NA,NA
92,favorable,neverThoughtAboutIt,favorableAndUnfavorable,NA,liberalFriend,liberal,poor,NA,favorable,good,highSchoolGraduate,NA,NA,unskilledDomesticPersonalService
93,favorable,untilBetterPlace,noComments,mutualAcomodataion,liberalFriend,ambivalent,hardToSay,biracialLivingExperience,NA,good,gradeSchoolOrLess,NA,NA,whiteColorSkilled
94,favorable,NA,NA,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,favorable,NA,someHighSchool,NA,NA,NA
95,favorable,permanent,favorableAndUnfavorable,mutualAcomodataion,liberalFriend,liberal,fair,biracialLivingExperience,NA,good,someHighSchool,NA,NA,semiSkilled
96,favorable,NA,favorable,mutualAcomodataion,NA,NA,fair,biracialLivingExperience,NA,fair,gradeSchoolOrLess,NA,NA,semiSkilled
97,favorable,untilBetterPlace,favorable,NA,liberalFriend,liberal,poor,NA,favorable,good,gradeSchoolOrLess,favorable,NA,unskilledDomesticPersonalService
98,favorable,neverThoughtAboutIt,favorableAndUnfavorable,conflict,NA,NA,poor,biracialLivingExperience,NA,good,gradeSchoolOrLess,NA,NA,whiteColorSkilled
99,favorable,NA,favorableAndUnfavorable,mutualAcomodataion,ambivalentFriend,liberal,poor,biracialLivingExperience,NA,poor,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
100,favorable,asLongAsEligible,NA,mutualAcomodataion,ambivalentFriend,liberal,NA,biracialLivingExperience,NA,NA,someHighSchool,NA,NA,NA
101,favorable,asLongAsEligible,NA,NA,NA,NA,good,NA,favorable,poor,NA,NA,NA,unskilledDomesticPersonalService
102,unfavorable,asLongAsEligible,favorableAndUnfavorable,NA,NA,NA,good,NA,favorable,poor,gradeSchoolOrLess,NA,NA,whiteColorSkilled
103,favorable,NA,unfavorable,NA,NA,NA,hardToSay,NA,NA,hardToSay,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
104,favorable,asLongAsEligible,favorable,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,NA,NA,gradeSchoolOrLess,NA,NA,NA
105,NA,asLongAsEligible,NA,conflict,liberalFriend,liberal,poor,biracialLivingExperience,favorable,poor,NA,NA,favorable,unskilledDomesticPersonalService
106,favorable,asLongAsEligible,favorable,NA,NA,NA,poor,NA,NA,good,gradeSchoolOrLess,NA,NA,whiteColorSkilled
107,NA,NA,favorable,mutualAcomodataion,ambivalentFriend,liberal,poor,biracialLivingExperience,NA,poor,NA,favorable,NA,whiteColorSkilled
108,favorable,asLongAsEligible,favorable,NA,NA,NA,hardToSay,NA,favorable,poor,gradeSchoolOrLess,NA,NA,semiSkilled
109,favorable,untilBetterPlace,NA,conflict,NA,NA,NA,biracialLivingExperience,favorable,NA,NA,NA,NA,NA
110,NA,asLongAsEligible,NA,NA,NA,NA,poor,NA,favorable,good,someHighSchool,NA,NA,whiteColorSkilled
111,favorable,untilBetterPlace,NA,conflict,liberalFriend,liberal,NA,biracialLivingExperience,favorable,NA,gradeSchoolOrLess,favorable,NA,NA
112,favorable,neverThoughtAboutIt,favorable,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,NA,NA,gradeSchoolOrLess,NA,NA,NA
113,favorable,NA,NA,NA,NA,NA,good,NA,favorable,good,highSchoolGraduate,NA,NA,semiSkilled
114,unfavorable,asLongAsEligible,NA,NA,NA,NA,poor,NA,favorable,good,highSchoolGraduate,NA,NA,semiSkilled
115,NA,permanent,favorable,conflict,liberalFriend,liberal,NA,noBiracialLivingExperience,NA,NA,someHighSchool,NA,NA,NA
116,favorable,asLongAsEligible,favorable,NA,NA,NA,poor,NA,NA,poor,NA,NA,NA,unskilledDomesticPersonalService
117,favorable,asLongAsEligible,NA,NA,NA,NA,good,NA,NA,poor,NA,NA,favorable,unskilledDomesticPersonalService
118,favorable,asLongAsEligible,favorableAndUnfavorable,NA,liberalFriend,liberal,NA,NA,favorable,NA,someHighSchool,NA,NA,NA
119,favorable,asLongAsEligible,favorableAndUnfavorable,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,favorable,NA,NA,NA,NA,NA
120,favorable,neverThoughtAboutIt,NA,NA,liberalFriend,liberal,fair,NA,favorable,poor,NA,NA,NA,unskilledDomesticPersonalService
121,NA,asLongAsEligible,favorableAndUnfavorable,NA,NA,NA,poor,NA,NA,good,highSchoolGraduate,NA,NA,whiteColorSkilled
122,favorable,asLongAsEligible,NA,NA,NA,NA,NA,NA,favorable,NA,gradeSchoolOrLess,NA,NA,NA
123,favorable,asLongAsEligible,unfavorable,NA,liberalFriend,liberal,NA,NA,NA,NA,gradeSchoolOrLess,favorable,NA,NA
124,favorable,NA,NA,conflict,NA,NA,poor,biracialLivingExperience,favorable,good,highSchoolGraduate,NA,NA,semiSkilled
125,favorable,asLongAsEligible,NA,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,NA,NA,gradeSchoolOrLess,NA,NA,NA
126,favorable,asLongAsEligible,favorable,integration,liberalFriend,liberal,poor,biracialLivingExperience,favorable,hardToSay,NA,NA,NA,unskilledDomesticPersonalService
127,NA,asLongAsEligible,favorableAndUnfavorable,NA,NA,NA,NA,NA,favorable,NA,someHighSchool,NA,NA,NA
128,favorable,untilBetterPlace,unfavorable,NA,NA,NA,good,NA,favorable,hardToSay,someHighSchool,favorable,NA,unskilledDomesticPersonalService
129,favorable,neverThoughtAboutIt,NA,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,NA,NA,NA,NA,NA,NA
130,NA,NA,favorableAndUnfavorable,conflict,NA,NA,NA,biracialLivingExperience,favorable,NA,someHighSchool,NA,NA,NA
131,favorable,asLongAsEligible,unfavorable,mutualAcomodataion,liberalFriend,liberal,good,noBiracialLivingExperience,favorable,good,gradeSchoolOrLess,NA,NA,whiteColorSkilled
132,favorable,neverThoughtAboutIt,favorable,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,favorable,NA,someHighSchool,NA,NA,NA
133,favorable,asLongAsEligible,NA,NA,NA,NA,NA,NA,favorable,NA,someHighSchool,NA,NA,NA
134,favorable,asLongAsEligible,favorable,NA,NA,NA,NA,NA,NA,NA,NA,favorable,NA,NA
135,favorable,NA,favorable,mutualAcomodataion,liberalFriend,liberal,poor,biracialLivingExperience,favorable,good,highSchoolGraduate,NA,NA,unskilledDomesticPersonalService
136,favorable,NA,NA,NA,liberalFriend,liberal,poor,NA,NA,good,highSchoolGraduate,NA,NA,unskilledDomesticPersonalService
137,favorable,neverThoughtAboutIt,favorable,NA,liberalFriend,liberal,NA,NA,favorable,NA,gradeSchoolOrLess,NA,NA,NA
138,unfavorable,untilBetterPlace,favorable,mutualAcomodataion,ambivalentFriend,liberal,poor,biracialLivingExperience,NA,hardToSay,gradeSchoolOrLess,NA,NA,semiSkilled
139,favorable,asLongAsEligible,NA,conflict,liberalFriend,liberal,NA,biracialLivingExperience,NA,NA,NA,NA,NA,NA
140,favorable,untilBetterPlace,noComments,mutualAcomodataion,NA,NA,good,biracialLivingExperience,favorable,good,NA,NA,NA,whiteColorSkilled
141,favorable,NA,favorable,NA,liberalFriend,liberal,poor,NA,NA,poor,highSchoolGraduate,NA,NA,unskilledDomesticPersonalService
142,favorable,neverThoughtAboutIt,favorable,conflict,NA,NA,poor,biracialLivingExperience,NA,poor,NA,NA,NA,unskilledDomesticPersonalService
143,favorable,NA,favorable,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,favorable,NA,gradeSchoolOrLess,NA,NA,NA
144,favorable,neverThoughtAboutIt,NA,integration,NA,NA,good,biracialLivingExperience,NA,poor,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
145,favorable,untilBetterPlace,unfavorable,mutualAcomodataion,ambivalentFriend,liberal,NA,biracialLivingExperience,favorable,NA,gradeSchoolOrLess,NA,NA,NA
146,favorable,permanent,favorable,NA,NA,NA,poor,NA,favorable,poor,someHighSchool,favorable,NA,unskilledDomesticPersonalService
147,favorable,asLongAsEligible,unfavorable,mutualAcomodataion,NA,NA,fair,biracialLivingExperience,NA,poor,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
148,unfavorable,asLongAsEligible,favorableAndUnfavorable,NA,NA,NA,poor,NA,favorable,poor,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
149,favorable,NA,unfavorable,NA,ambivalentFriend,liberal,fair,NA,favorable,fair,NA,NA,NA,semiSkilled
150,favorable,permanent,NA,mutualAcomodataion,liberalFriend,liberal,poor,biracialLivingExperience,favorable,good,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
151,unfavorable,NA,favorableAndUnfavorable,integration,ambivalentFriend,liberal,hardToSay,biracialLivingExperience,favorable,fair,highSchoolGraduate,favorable,NA,unskilledDomesticPersonalService
152,favorable,NA,favorable,NA,NA,NA,NA,NA,favorable,NA,NA,NA,NA,NA
153,NA,neverThoughtAboutIt,favorable,NA,NA,NA,NA,NA,favorable,NA,someHighSchool,NA,NA,NA
154,unfavorable,permanent,favorable,NA,NA,NA,NA,NA,NA,NA,highSchoolGraduate,NA,NA,NA
155,favorable,neverThoughtAboutIt,favorable,mutualAcomodataion,ambivalentFriend,liberal,poor,biracialLivingExperience,NA,hardToSay,highSchoolGraduate,NA,NA,unskilledDomesticPersonalService
156,favorable,asLongAsEligible,favorable,NA,NA,NA,poor,NA,favorable,poor,someHighSchool,NA,NA,unskilledDomesticPersonalService
157,NA,asLongAsEligible,favorable,mutualAcomodataion,liberalFriend,liberal,poor,biracialLivingExperience,favorable,good,someHighSchool,NA,favorable,unskilledDomesticPersonalService
158,favorable,NA,favorable,NA,ambivalentFriend,liberal,NA,NA,favorable,NA,gradeSchoolOrLess,NA,NA,NA
159,favorable,asLongAsEligible,favorable,NA,liberalFriend,liberal,good,NA,favorable,poor,someHighSchool,NA,NA,unskilledDomesticPersonalService
160,favorable,asLongAsEligible,favorable,NA,liberalFriend,liberal,NA,NA,favorable,NA,NA,NA,NA,NA
161,favorable,NA,unfavorable,conflict,liberalFriend,liberal,NA,biracialLivingExperience,NA,NA,gradeSchoolOrLess,NA,NA,NA
162,NA,neverThoughtAboutIt,unfavorable,NA,NA,NA,hardToSay,NA,NA,hardToSay,highSchoolGraduate,favorable,NA,unskilledDomesticPersonalService
163,favorable,asLongAsEligible,favorableAndUnfavorable,conflict,liberalFriend,liberal,NA,biracialLivingExperience,favorable,NA,NA,favorable,NA,NA
164,favorable,permanent,NA,NA,NA,NA,poor,NA,favorable,good,someHighSchool,NA,NA,semiSkilled
165,favorable,neverThoughtAboutIt,NA,NA,liberalFriend,liberal,NA,NA,favorable,NA,highSchoolGraduate,NA,NA,NA
166,favorable,NA,favorable,conflict,liberalFriend,liberal,NA,biracialLivingExperience,favorable,NA,highSchoolGraduate,NA,NA,NA
167,favorable,untilBetterPlace,favorableAndUnfavorable,NA,liberalFriend,liberal,NA,NA,favorable,NA,someHighSchool,NA,NA,NA
168,favorable,untilBetterPlace,unfavorable,mutualAcomodataion,liberalFriend,liberal,poor,biracialLivingExperience,favorable,hardToSay,highSchoolGraduate,NA,NA,unskilledDomesticPersonalService
169,favorable,permanent,NA,NA,liberalFriend,liberal,NA,NA,NA,NA,NA,NA,NA,NA
170,favorable,asLongAsEligible,unfavorable,NA,NA,NA,poor,NA,favorable,good,highSchoolGraduate,favorable,favorable,whiteColorSkilled
171,favorable,NA,NA,NA,NA,NA,NA,NA,NA,NA,gradeSchoolOrLess,NA,NA,NA
172,favorable,asLongAsEligible,favorable,mutualAcomodataion,liberalFriend,liberal,poor,biracialLivingExperience,NA,poor,someHighSchool,NA,NA,unskilledDomesticPersonalService
173,favorable,neverThoughtAboutIt,favorable,NA,liberalFriend,liberal,poor,NA,favorable,poor,NA,NA,favorable,unskilledDomesticPersonalService
174,favorable,NA,favorableAndUnfavorable,NA,liberalFriend,liberal,poor,NA,favorable,good,NA,NA,NA,whiteColorSkilled
175,favorable,asLongAsEligible,favorableAndUnfavorable,NA,liberalFriend,ambivalent,hardToSay,NA,NA,fair,NA,favorable,NA,unskilledDomesticPersonalService
176,favorable,NA,NA,mutualAcomodataion,NA,NA,poor,biracialLivingExperience,favorable,good,highSchoolGraduate,NA,NA,whiteColorSkilled
177,favorable,permanent,favorableAndUnfavorable,NA,liberalFriend,liberal,NA,NA,NA,NA,NA,NA,NA,NA
178,NA,NA,NA,NA,NA,NA,hardToSay,NA,NA,hardToSay,gradeSchoolOrLess,favorable,NA,semiSkilled
179,favorable,untilOwnHome,favorable,NA,NA,NA,poor,NA,favorable,poor,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
180,unfavorable,NA,unfavorable,NA,liberalFriend,liberal,NA,NA,favorable,NA,someHighSchool,NA,NA,NA
181,favorable,neverThoughtAboutIt,unfavorable,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,NA,NA,NA,NA,NA,NA
182,favorable,NA,favorableAndUnfavorable,mutualAcomodataion,liberalFriend,liberal,good,biracialLivingExperience,favorable,good,highSchoolGraduate,favorable,favorable,semiSkilled
183,favorable,neverThoughtAboutIt,favorableAndUnfavorable,mutualAcomodataion,liberalFriend,ambivalent,hardToSay,biracialLivingExperience,favorable,hardToSay,NA,NA,NA,unskilledDomesticPersonalService
184,unfavorable,permanent,NA,NA,liberalFriend,liberal,hardToSay,NA,NA,hardToSay,NA,NA,NA,whiteColorSkilled
185,favorable,neverThoughtAboutIt,favorable,NA,NA,NA,NA,NA,favorable,NA,NA,NA,NA,NA
186,favorable,NA,favorable,integration,NA,NA,poor,biracialLivingExperience,NA,fair,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
187,favorable,asLongAsEligible,favorable,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,favorable,NA,NA,NA,NA,NA
188,NA,asLongAsEligible,NA,NA,NA,NA,poor,NA,favorable,poor,NA,NA,NA,unskilledDomesticPersonalService
189,favorable,NA,favorable,NA,liberalFriend,liberal,NA,NA,favorable,NA,NA,NA,NA,NA
190,NA,NA,favorable,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,favorable,NA,NA,NA,NA,NA
191,favorable,neverThoughtAboutIt,favorable,NA,NA,NA,fair,NA,NA,hardToSay,gradeSchoolOrLess,NA,favorable,unskilledDomesticPersonalService
192,favorable,asLongAsEligible,favorable,NA,liberalFriend,liberal,poor,NA,favorable,hardToSay,highSchoolGraduate,NA,NA,semiSkilled
193,NA,untilBetterPlace,NA,NA,NA,NA,poor,NA,NA,hardToSay,NA,NA,NA,unskilledDomesticPersonalService
194,favorable,asLongAsEligible,NA,NA,liberalFriend,liberal,NA,NA,favorable,NA,someHighSchool,NA,NA,NA
